source,target,,,,
EIF1AX,RPL31,,,,
EIF1AX,RPL32,,,,
EIF1AX,RPL34,,,,
EIF1AX,RPL35,,,,
EIF1AX,RPL35A,,,,
EIF1AX,RPL36,,,,
EIF1AX,RPL37,,,,
EIF1AX,RPL37A,,,,
EIF1AX,RPL38,,,,
EIF1AX,RPL39,,,,
EIF1AX,RPL4,,,,
EIF1AX,RPL41,,,,
EIF1AX,RPL5,,,,
EIF1AX,RPL6,,,,
EIF1AX,RPL7,,,,
EIF1AX,RPL8,,,,
EIF1AX,RPL9P7,,,,
EIF1AX,RPLP0P6,,,,
EIF1AX,RPLP2,,,,
EIF1AX,RPS10-NUDT3,,,,
EIF1AX,RPS11,,,,
EIF1AX,RPS12,,,,
EIF1AX,RPS13,,,,
EIF1AX,RPS14,,,,
EIF1AX,RPS15,,,,
EIF1AX,RPS15A,,,,
EIF1AX,RPS16,,,,
EIF1AX,RPS18,,,,
EIF1AX,RPS19,,,,
EIF1AX,RPS2,,,,
EIF1AX,RPS20,,,,
EIF1AX,RPS21,,,,
EIF1AX,RPS23,,,,
EIF1AX,RPS24,,,,
EIF1AX,RPS26,,,,
EIF1AX,RPS27,,,,
EIF1AX,RPS28,,,,
EIF1AX,RPS29,,,,
EIF1AX,RPS3,,,,
EIF1AX,RPS3A,,,,
EIF1AX,RPS4X,,,,
EIF1AX,RPS4Y1,,,,
EIF1AX,RPS5,,,,
EIF1AX,RPS6,,,,
EIF1AX,RPS7,,,,
EIF1AX,RPS8,,,,
EIF1AX,RPSA,,,,
EIF1AX,RRP1,,,,
EIF1AX,SNORA67,,,,
EIF1AX,UBC,,,,
EIF3I,ABCE1,,,,
EIF3I,EIF1,,,,
EIF3I,EIF1AX,,,,
EIF3I,EIF1B,,,,
EIF3I,EIF2S1,,,,
EIF3I,EIF2S2,,,,
EIF3I,EIF2S3,,,,
EIF3I,EIF3A,,,,
EIF3I,EIF3B,,,,
EIF3I,EIF3C,,,,
EIF3I,EIF3CL,,,,
EIF3I,EIF3D,,,,
EIF3I,EIF3E,,,,
EIF3I,EIF3F,,,,
EIF3I,EIF3G,,,,
EIF3I,EIF3H,,,,
EIF3I,EIF3I,,,,
EIF3I,EIF3J,,,,
EIF3I,EIF3K,,,,
EIF3I,EIF3L,,,,
EIF3I,EIF3M,,,,
EIF3I,EIF4A2,,,,
EIF3I,EIF4B,,,,
EIF3I,EIF4E,,,,
EIF3I,EIF4G1,,,,
EIF3I,EIF5,,,,
EIF3I,EIF5B,,,,
EIF3I,FAU,,,,
EIF3I,GCH1,,,,
EIF3I,GTF2B,,,,
EIF3I,RACK1,,,,
EIF3I,RLIM,,,,
EIF3I,RPL10A,,,,
EIF3I,RPL11,,,,
EIF3I,RPL12,,,,
EIF3I,RPL13,,,,
EIF3I,RPL13A,,,,
EIF3I,RPL14,,,,
EIF3I,RPL15,,,,
EIF3I,RPL17,,,,
EIF3I,RPL18,,,,
EIF3I,RPL18A,,,,
EIF3I,RPL19,,,,
EIF3I,RPL21,,,,
EIF3I,RPL22,,,,
EIF3I,RPL23,,,,
EIF3I,RPL23A,,,,
EIF3I,RPL24,,,,
EIF3I,RPL26,,,,
EIF3I,RPL26L1,,,,
EIF3I,RPL27,,,,
EIF3I,RPL27A,,,,
EIF3I,RPL28,,,,
EIF3I,RPL29,,,,
EIF3I,RPL3,,,,
EIF3I,RPL30,,,,
EIF3I,RPL31,,,,
EIF3I,RPL32,,,,
EIF3I,RPL34,,,,
EIF3I,RPL35,,,,
EIF3I,RPL35A,,,,
EIF3I,RPL36,,,,
EIF3I,RPL37,,,,
EIF3I,RPL37A,,,,
EIF3I,RPL38,,,,
EIF3I,RPL39,,,,
EIF3I,RPL4,,,,
EIF3I,RPL41,,,,
EIF3I,RPL5,,,,
EIF3I,RPL6,,,,
EIF3I,RPL7,,,,
EIF3I,RPL8,,,,
EIF3I,RPL9P7,,,,
EIF3I,RPLP0P6,,,,
EIF3I,RPLP2,,,,
EIF3I,RPS10-NUDT3,,,,
EIF3I,RPS11,,,,
EIF3I,RPS12,,,,
EIF3I,RPS13,,,,
EIF3I,RPS14,,,,
EIF3I,RPS15,,,,
EIF3I,RPS15A,,,,
EIF3I,RPS16,,,,
EIF3I,RPS19,,,,
EIF3I,RPS2,,,,
EIF3I,RPS20,,,,
EIF3I,RPS21,,,,
EIF3I,RPS23,,,,
EIF3I,RPS24,,,,
EIF3I,RPS26,,,,
EIF3I,RPS27,,,,
EIF3I,RPS28,,,,
EIF3I,RPS29,,,,
EIF3I,RPS3,,,,
EIF3I,RPS3A,,,,
EIF3I,RPS4X,,,,
EIF3I,RPS4Y1,,,,
EIF3I,RPS5,,,,
EIF3I,RPS6,,,,
EIF3I,RPS7,,,,
EIF3I,RPS8,,,,
EIF3I,RPS9,,,,
EIF3I,RPSA,,,,
EIF3I,RRP1,,,,
EIF3I,SNORA67,,,,
EIF3I,TRMT6,,,,
EIF3I,UBC,,,,
EIF3I,USP3,,,,
EIF3M,COPS4,,,,
EIF3M,COPS5,,,,
EIF3M,EIF3A,,,,
EIF3M,EIF3B,,,,
EIF3M,EIF3C,,,,
EIF3M,EIF3CL,,,,
EIF3M,EIF3D,,,,
EIF3M,EIF3E,,,,
EIF3M,EIF3F,,,,
EIF3M,EIF3G,,,,
EIF3M,EIF3H,,,,
EIF3M,EIF3I,,,,
EIF3M,EIF3J,,,,
EIF3M,EIF3K,,,,
EIF3M,EIF3L,,,,
EIF3M,EIF3M,,,,
EIF3M,NAA15,,,,
EIF3M,UBC,,,,
EIF4A3,ALYREF,,,,
EIF4A3,ARIH1,,,,
