"","source","target"
"780","EIF3M","EIF3CL"
"781","EIF3M","EIF3D"
"782","EIF3M","EIF3E"
"783","EIF3M","EIF3F"
"784","EIF3M","EIF3G"
"785","EIF3M","EIF3H"
"786","EIF3M","EIF3I"
"787","EIF3M","EIF3J"
"788","EIF3M","EIF3K"
"789","EIF3M","EIF3L"
"790","EIF3M","NAA15"
"791","EIF3M","UBC"
"792","EIF4A3","ALYREF"
"793","EIF4A3","ARIH1"
"794","EIF4A3","CASC3"
"795","EIF4A3","CCDC174"
"796","EIF4A3","CDC5L"
"797","EIF4A3","CNOT1"
"798","EIF4A3","CNOT10"
"799","EIF4A3","CNOT11"
"800","EIF4A3","CNOT2"
"801","EIF4A3","CNOT4"
"802","EIF4A3","CNOT6"
"803","EIF4A3","CNOT6L"
"804","EIF4A3","CNOT7"
"805","EIF4A3","CNOT8"
"806","EIF4A3","CNOT9"
"807","EIF4A3","CWC22"
"808","EIF4A3","DHX15"
"809","EIF4A3","EFTUD2"
"810","EIF4A3","EIF4A2"
"811","EIF4A3","EIF4B"
"812","EIF4A3","EIF4E"
"813","EIF4A3","EIF4E2"
"814","EIF4A3","EIF4E3"
"815","EIF4A3","EIF4G1"
"816","EIF4A3","EIF4G3"
"817","EIF4A3","ETF1"
"818","EIF4A3","FAU"
"819","EIF4A3","GPX1"
"820","EIF4A3","HERC5"
"821","EIF4A3","HNRNPA1"
"822","EIF4A3","HNRNPC"
"823","EIF4A3","HNRNPU"
"824","EIF4A3","HRH1"
"825","EIF4A3","ILF2"
"826","EIF4A3","ISG15"
"827","EIF4A3","LBR"
"828","EIF4A3","MAGOH"
"829","EIF4A3","NAT1"
"830","EIF4A3","NCBP1"
"831","EIF4A3","NCBP2"
"832","EIF4A3","NOM1"
"833","EIF4A3","NXF1"
"834","EIF4A3","PAIP1"
"835","EIF4A3","PAN2"
"836","EIF4A3","PAN3"
"837","EIF4A3","PARN"
"838","EIF4A3","PDCD4"
"839","EIF4A3","POLDIP3"
"840","EIF4A3","PPP2CB"
"841","EIF4A3","PPP2R1A"
"842","EIF4A3","PPP2R2D"
"843","EIF4A3","PRPF19"
"844","EIF4A3","RALY"
"845","EIF4A3","RBM8A"
"846","EIF4A3","RBMX"
"847","EIF4A3","RLIM"
"848","EIF4A3","RNPS1"
"849","EIF4A3","RPL10A"
"850","EIF4A3","RPL11"
"851","EIF4A3","RPL12"
"852","EIF4A3","RPL13"
"853","EIF4A3","RPL13A"
"854","EIF4A3","RPL14"
"855","EIF4A3","RPL15"
"856","EIF4A3","RPL17"
"857","EIF4A3","RPL18"
"858","EIF4A3","RPL18A"
"859","EIF4A3","RPL19"
"860","EIF4A3","RPL21"
"861","EIF4A3","RPL22"
"862","EIF4A3","RPL23"
"863","EIF4A3","RPL23A"
"864","EIF4A3","RPL24"
"865","EIF4A3","RPL26"
"866","EIF4A3","RPL26L1"
"867","EIF4A3","RPL27"
"868","EIF4A3","RPL27A"
"869","EIF4A3","RPL28"
"870","EIF4A3","RPL29"
"871","EIF4A3","RPL3"
"872","EIF4A3","RPL30"
"873","EIF4A3","RPL31"
"874","EIF4A3","RPL32"
"875","EIF4A3","RPL34"
"876","EIF4A3","RPL35"
"877","EIF4A3","RPL35A"
"878","EIF4A3","RPL36"
"879","EIF4A3","RPL37"
"880","EIF4A3","RPL37A"
"881","EIF4A3","RPL38"
