"SUID","adjustedPValue_DNBs","description_DNBs","N_DNBs","name","nn_DNBs","nodeFillColor_DNBs","nodeFontSize_DNBs","nodeSize_DNBs","nodeType_DNBs","pValue_DNBs","selected","shared name","X_DNBs","xx_DNBs"
"312","2.4269E-3","positive regulation of metabolic process","14285","9893","1017","2.6149480642326175","14","14.832396974191326","ellipse","9.4642E-5","false","9893","459","55"
"314","7.0575E-3","death","14285","16265","703","2.1513512201730003","14","12.649110640673518","ellipse","3.2577E-4","false","16265","459","40"
"316","1.5407E-6","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","14285","377","88","5.81228225648002","14","8.0","ellipse","1.7167E-8","false","377","459","16"
"319","1.5626E-2","regulation of primary metabolic process","14285","80090","3552","1.8061412737375115","14","24.0","ellipse","8.0837E-4","false","80090","459","144"
"321","5.8875E-3","negative regulation of programmed cell death","14285","43069","381","2.2300706909830246","14","10.198039027185569","ellipse","2.5771E-4","false","43069","459","26"
"324","6.6886E-2","cytoskeleton organization","14285","7010","448","1.1746659284700296","14","10.0","ellipse","5.3764E-3","false","7010","459","25"
"326","3.7575E-4","cell cycle","14285","7049","794","3.4251061320614737","14","14.0","ellipse","8.3732E-6","false","7049","459","49"
"327","5.7029E-3","mitotic cell cycle","14285","278","380","2.243905591283409","14","10.198039027185569","ellipse","2.4736E-4","false","278","459","26"
"331","4.7563E-8","cellular macromolecule catabolic process","14285","44265","439","7.322726636025137","14","12.96148139681572","ellipse","2.4032E-10","false","44265","459","42"
"334","8.6796E-1","multicellular organismal development","14285","7275","2972","0.061501796868622664","14","18.973665961010276","ellipse","7.5655E-1","false","7275","459","90"
"336","2.9528E-1","macromolecule modification","14285","43412","1603","0.5297724542988366","14","15.748015748023622","ellipse","6.9207E-2","false","43412","459","62"
"337","3.3841E-1","protein modification process","14285","6464","1522","0.4705546456874798","14","15.231546211727817","ellipse","9.5208E-2","false","6464","459","58"
"340","5.3989E-2","cellular component biogenesis","14285","44085","1035","1.2676952977345113","14","14.0","ellipse","3.9960E-3","false","44085","459","49"
"342","1.0551E-1","response to biotic stimulus","14285","9607","447","0.9767109328505554","14","9.797958971132712","ellipse","9.9347E-3","false","9607","459","24"
"343","2.1197E-2","response to unfolded protein","14285","6986","66","1.6737298965051421","14","5.656854249492381","ellipse","1.1977E-3","false","6986","459","8"
"346","3.4605E-2","cell cycle process","14285","22402","582","1.4608650463988981","14","11.313708498984761","ellipse","2.2039E-3","false","22402","459","32"
"348","4.7016E-2","protein modification by small protein conjugation or removal","14285","70647","253","1.327758935216254","14","8.246211251235321","ellipse","3.4050E-3","false","70647","459","17"
"350","7.6314E-3","negative regulation of cell death","14285","60548","389","2.1173975918484618","14","10.198039027185569","ellipse","3.5530E-4","false","60548","459","26"
"352","7.3643E-2","transport","14285","6810","2575","1.1328701608515634","14","20.396078054371138","ellipse","6.1833E-3","false","6810","459","104"
"355","1.1851E-1","positive regulation of biosynthetic process","14285","9891","730","0.9262314153812747","14","11.832159566199232","ellipse","1.1790E-2","false","9891","459","35"
"358","9.7183E-6","intracellular transport","14285","46907","665","5.0124075670189585","14","13.856406460551018","ellipse","1.2375E-7","false","46907","459","48"
"361","6.5831E-1","phosphorus metabolic process","14285","6793","947","0.18156764033364986","14","11.313708498984761","ellipse","4.0945E-1","false","6793","459","32"
"363","4.2637E-8","RNA splicing","14285","8380","285","7.3702125325565735","14","11.489125293076057","ellipse","1.6967E-10","false","8380","459","33"
"364","5.8438E-6","RNA splicing, via transesterification reactions","14285","375","97","5.233305235308698","14","8.0","ellipse","7.2088E-8","false","375","459","16"
"366","3.6509E-2","mitochondrial electron transport, NADH to ubiquinone","14285","6120","43","1.4375977503092945","14","4.898979485566356","ellipse","2.3681E-3","false","6120","459","6"
"368","2.2954E-4","nucleocytoplasmic transport","14285","6913","145","3.639137917374519","14","8.246211251235321","ellipse","4.1104E-6","false","6913","459","17"
"370","3.5193E-4","negative regulation of ubiquitin-protein ligase activity","14285","51444","66","3.453540398003692","14","6.6332495807108","ellipse","7.2823E-6","false","51444","459","11"
"372","1.0917E-3","positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle","14285","51437","64","2.961879805697465","14","6.324555320336759","ellipse","3.4000E-5","false","51437","459","10"
"374","3.7082E-1","lymphocyte proliferation","14285","46651","37","0.4308358376870163","14","3.4641016151377544","ellipse","1.1497E-1","false","46651","459","3"
"375","4.2033E-1","T cell proliferation","14285","42098","22","0.37640834747541774","14","2.8284271247461903","ellipse","1.5639E-1","false","42098","459","2"
"377","2.7429E-4","positive regulation of cellular process","14285","48522","2003","3.5617942195148395","14","19.8997487421324","ellipse","5.2391E-6","false","48522","459","99"
"379","2.1998E-7","chromosome organization","14285","51276","524","6.6576208479552434","14","13.416407864998739","ellipse","1.7507E-9","false","51276","459","45"
"381","3.7082E-1","oxidative phosphorylation","14285","6119","102","0.4308358376870163","14","4.898979485566356","ellipse","1.1031E-1","false","6119","459","6"
"383","2.9008E-3","protein refolding","14285","42026","9","2.537484720107522","14","4.0","ellipse","1.1659E-4","false","42026","459","4"
"385","6.4695E-1","regulation of cell communication","14285","10646","1154","0.18913181566439624","14","12.489995996796797","ellipse","3.9414E-1","false","10646","459","39"
