hgnc_symbol,stage1,stage2,stage3,stage4
MRI1,0.062077922,1.061034483,0.666666667,14.42503205
PI4K2B,0.006493507,0.206896552,223.6944444,267.4711459
BOD1L1,5978,2471.310345,566.2013889,1106.616987
MAT2B,626.7247752,102,2.076388889,966.9831731
TRIO,14.68981019,235.5862069,0.083333333,17.5400641
VCAN,0.006493507,0.034482759,1.5625,62.65384615
CDH1,2.250249751,0.620689655,122.1666667,0.080128205
MTREX,223.8319231,640.3441379,0.6875,825.580096
ZFYVE16,99.81018982,174.7931034,6.875,169.0376603
RIPOR1,8.847857145,0.24137931,33.1875,1150.330128
SPDL1,0.038461539,0.068965517,1.166666667,33.57291667
STAU2,4.822677323,365.2413793,1.520833333,86.76041665
PHF23,141.442058,2.24137931,329.4027778,301.75
INPP4A,0.097402598,149.3793103,656.6944443,0.342147436
PSMA4,834.3416582,1076.793103,5779.409722,1339.623397
LSG1,234.2257742,4.724137931,877.638889,137.2628205
THAP3,0.01948052,28.19758621,8.505,75.00572915
MED17,85.1103896,121.4137931,421.5833333,46.74759615
CAPG,452.5244755,314.1034483,28.48611111,377.3309295
AP2S1,137.533966,491.2413793,102.2916667,82.56330127
ADAM28,1722.12038,1095.655172,1040.215278,1664.402243
DCUN1D1,494.0724276,2705.586207,2157.763889,651.2443912
JADE2,63.42707292,707.2413793,1061.791667,60.11378205
LCP2,8.661338662,2.896551724,132.4861111,0.344551282
ADRB1,0.038461539,0.206896552,0.027777778,0.215544872
CTNNA1,114.0214785,93.48275862,286.3541667,593.0072115
CNTLN,0.064435565,0.068965517,2.111111111,0.010416667
HSPA5,1317.710909,2897.894828,4242.417222,2595.603125
DSG2,0.153846154,0.068965517,14.27777778,0.104166667
GEMIN8,0.188311689,0.310344828,1,43.83333334
OFD1,10453.18631,729.4482759,1988.430556,1015.790144
GPM6B,0.240259741,35.4137931,0.395833333,16.05208334
YTHDC2,274.6968032,131.2758621,328.2916667,134.6065705
ATP6V1H,12.02547452,860.137931,205.3819444,198.1939103
POLR2B,93.71872129,294.0931034,2703.151458,320.6372917
FAM214A,520.9895105,1409.448276,439.4930556,1233.003205
ARAP2,83.90559442,474.8275862,1078.111111,468.2459936
TPR,777.6714085,1833.608276,263.7111111,1341.52004
DTNBP1,107.2207792,110.862069,4.5,296.2580128
WWC3,42.61038961,0.137931034,792.8125,141.5192308
MAP4,43.48701299,245.7586207,537.7916667,33.08333334
USP28,83.1278721,145.7241379,0.111111111,40.14342949
HDAC9,58.67232768,562.1034483,0.229166667,287.4519231
NOP16,1975.212417,1097.823793,36.07909722,787.2450559
RRM2B,218.4735265,164.5517241,0.027777778,1067.091346
ZNF800,2059.41009,333.3448276,270.9722222,166.9663462
TNFRSF17,0.147852148,0.379310345,0.354166667,88.24038462
SNX29,104.8616384,605.3793103,0.131944444,77.51041665
MRPS10,26.56143856,201.4137931,1.9375,190.740625
RSF1,2506.50471,1679.818621,10.63194444,517.3966346
VPS13D,77.03146853,473.7241379,0.020833333,2.163461539
CELF2,222.5814186,570.0689655,1931.861111,525.0985577
FAM120A,122.2402598,1063.344828,5.909722223,677.168269
R3HDM1,38.67482517,30.55172414,0.486111111,0.197916667
H6PD,15.6033966,2.724137931,70.95833333,2.216346154
VAMP3,73.78421577,77.34482759,0.055555556,0.28125
PER3,0.244255745,0.068965517,0.041666667,117.0921875
UTS2,0.154345655,0.793103448,0.888888889,0.257211539
TNFRSF9,0.454545455,1.620689655,0.111111111,68.46955127
RCN1,0.722202798,0.24137931,0.041666667,1.150256411
ARID1B,717.6633364,1002.724138,506.0416667,1638.354968
CLPTM1L,521.6568432,0.172413793,12.40972222,541.7027244
NEDD4L,71.01898104,2358.068966,0.076388889,112.4551282
FOXP3,0.518481519,0.172413793,0.5,0.052083334
HEXB,69.64442557,513.2924138,1.145833333,98.73557693
PTCD2,0.038461539,0.034482759,0.027777778,0.145833334
JKAMP,32.3046953,2.965517241,14.33333333,62.19791665
MCUR1,44.1998002,0.689655172,48.56944443,400.5296474
LIMA1,14.71878122,689.2413793,10.45138889,0.588141026
LETMD1,0.412087912,0.620689655,0.027777778,620.1145833
SLC4A8,71.53746252,249.1034483,0.027777778,0.069711539
TNIP3,0.362137863,190.1724138,2.965277778,0.358173077
MAPK9,0.207292708,156.4137931,0.673611111,93.14583335
HERPUD1,8704.413587,8308.241379,4416.263889,5988.919071
PIK3CB,0.006493507,39,0.111111111,0.270833334
CYBA,1059.34965,208.3793103,0.375,108.1225962
THOC3,141.7905145,11.62482759,0.034791667,111.3024199
HEBP2,0.320679321,129.8965517,160.1666667,1.358173077
PLEKHA5,0.006493507,0.068965517,663.9375,0.379006411
SIKE1,133.0424575,325.4827586,0.451388889,665.6674681
RRP12,28.63836164,0.137931034,0.048611111,138.0977564
FNIP2,0.051448552,0.137931034,1.986111111,0.052083334
MSMO1,0.374125875,0.413793103,0.388888889,124.8445513
