"","ensembl_gene_id","gene_id","C481","LC03","LC01","RC02","R02","R03","RC03","hgnc_symbol"
"135","ENSG00000014641","ENSG00000014641.17",1873,2140,2407,699,1522,2740,1507,"MDH1"
"136","ENSG00000014824","ENSG00000014824.13",0.76,4.8,51,0.55,47,0.032,0.68,"SLC30A9"
"137","ENSG00000015133","ENSG00000015133.18",6.9,252,899,0.38,472,308,26,"CCDC88C"
"138","ENSG00000015153","ENSG00000015153.14",41,42,437,347,849,722,448,"YAF2"
"139","ENSG00000015171","ENSG00000015171.19",258,1.4,146,0.21,14,13,0.68,"ZMYND11"
"140","ENSG00000015475","ENSG00000015475.18",429,162,320,32,338,1082,1064,"BID"
"141","ENSG00000015479","ENSG00000015479.18",860,1478,3468,474,2253,2662,585,"MATR3"
"142","ENSG00000015532","ENSG00000015532.9",83,12,1.2,115,10,226,85,"XYLT2"
"143","ENSG00000015568","ENSG00000015568.12",173,1.4,1604,10,318,1.6,122,"RGPD5"
"144","ENSG00000017260","ENSG00000017260.19",48,2969,192,0.17,90,0.9,7.4,"ATP2C1"
"145","ENSG00000017427","ENSG00000017427.15",0.079,7.2,0.053,0.62,22,0.61,0.77,"IGF1"
"146","ENSG00000017797","ENSG00000017797.12",216,228,17,102,100,343,312,"RALBP1"
"147","ENSG00000018189","ENSG00000018189.12",0.66,0.05,0.19,0.59,0.028,0.032,0.23,"RUFY3"
"148","ENSG00000018408","ENSG00000018408.14",21,32,287,5.2,34,23,37,"WWTR1"
"149","ENSG00000018510","ENSG00000018510.13",512,2.2,79,5.3,198,0.26,0.81,"AGPS"
"150","ENSG00000018610","ENSG00000018610.13",0.053,39,13,0.034,36,115,171,"CXorf56"
"151","ENSG00000019582","ENSG00000019582.14",27241,3667,11651,5213,8259,13743,14266,"CD74"
"152","ENSG00000019995","ENSG00000019995.6",11,184,13,273,245,36,64,"ZRANB1"
"153","ENSG00000020129","ENSG00000020129.15",205,0.45,267,3.3,247,0.13,0.39,"NCDN"
"154","ENSG00000020426","ENSG00000020426.10",180,36,380,867,41,0.39,1.3,"MNAT1"
"155","ENSG00000020633","ENSG00000020633.18",1636,2301,3463,1028,1344,1153,1394,"RUNX3"
"156","ENSG00000021355","ENSG00000021355.12",181,4.4,511,126,659,513,3.3,"SERPINB1"
"157","ENSG00000021574","ENSG00000021574.11",0.13,0.1,19,83,148,29,0.32,"SPAST"
"158","ENSG00000021776","ENSG00000021776.10",2.3,53,122,0.034,98,5.4,0.065,"AQR"
"159","ENSG00000022277","ENSG00000022277.12",294,644,271,614,761,394,334,"RTF2"
"160","ENSG00000022840","ENSG00000022840.15",57,3.8,258,3.4,666,672,893,"RNF10"
"161","ENSG00000023041","ENSG00000023041.11",804,934,609,139,77,191,1083,"ZDHHC6"
"162","ENSG00000023171","ENSG00000023171.16",4.1,112,19,60,132,314,0.48,"GRAMD1B"
"163","ENSG00000023191","ENSG00000023191.16",406,518,89,259,281,1.2,2.6,"RNH1"
"164","ENSG00000023228","ENSG00000023228.13",641,191,572,0.034,155,231,0.94,"NDUFS1"
"165","ENSG00000023287","ENSG00000023287.12",779,1034,1456,694,721,3497,864,"RB1CC1"
"166","ENSG00000023318","ENSG00000023318.7",758,82,946,2.4,1230,1991,6.3,"ERP44"
"167","ENSG00000023330","ENSG00000023330.14",32,0.7,224,0.79,267,0.097,1.8,"ALAS1"
"168","ENSG00000023445","ENSG00000023445.13",4106,10302,11221,10234,8782,8414,23080,"BIRC3"
"169","ENSG00000023516","ENSG00000023516.8",14,3,139,136,139,1769,0.68,"AKAP11"
"170","ENSG00000023572","ENSG00000023572.8",168,42,58,0.86,120,0.65,655,"GLRX2"
"171","ENSG00000023608","ENSG00000023608.4",0.3,0.1,88,356,58,0.71,0.29,"SNAPC1"
"172","ENSG00000023697","ENSG00000023697.12",259,17,322,0.034,315,71,1.1,"DERA"
"173","ENSG00000023734","ENSG00000023734.10",1147,904,658,496,843,777,547,"STRAP"
"174","ENSG00000023892","ENSG00000023892.10",116,120,58,511,155,933,343,"DEF6"
"175","ENSG00000023902","ENSG00000023902.13",104,38,153,2.4,105,85,364,"PLEKHO1"
"176","ENSG00000023909","ENSG00000023909.9",24,0.25,18,0.034,24,0.32,0.58,"GCLM"
"177","ENSG00000024048","ENSG00000024048.10",321,0.25,85,76,617,0.65,489,"UBR2"
"178","ENSG00000024862","ENSG00000024862.17",692,454,789,354,246,1264,1128,"CCDC28A"
"179","ENSG00000025293","ENSG00000025293.16",950,324,836,20,426,1702,701,"PHF20"
"180","ENSG00000025708","ENSG00000025708.13",4.1,0.05,21,20,47,0.34,325,"TYMP"
"181","ENSG00000025796","ENSG00000025796.13",131,720,689,122,377,1132,541,"SEC63"
"182","ENSG00000025800","ENSG00000025800.13",762,1281,1415,689,322,922,1222,"KPNA6"
"183","ENSG00000026025","ENSG00000026025.15",8957,6404,12981,3826,5394,7074,1971,"VIM"
"184","ENSG00000026103","ENSG00000026103.21",1067,1375,3044,39,768,2200,937,"FAS"
"185","ENSG00000026297","ENSG00000026297.15",969,126,913,12,1497,594,652,"RNASET2"
"186","ENSG00000026508","ENSG00000026508.17",7175,4408,4558,1310,2499,4193,1881,"CD44"
"187","ENSG00000026751","ENSG00000026751.16",68,10,274,0.72,82,2.7,1.1,"SLAMF7"
"188","ENSG00000026950","ENSG00000026950.16",621,3.8,539,53,235,0.13,790,"BTN3A1"
"189","ENSG00000027075","ENSG00000027075.14",231,1389,3150,72,1261,758,169,"PRKCH"
"190","ENSG00000027697","ENSG00000027697.13",272,1020,849,0.86,1031,122,20,"IFNGR1"
"191","ENSG00000027869","ENSG00000027869.11",395,847,144,262,207,247,255,"SH2D2A"
"192","ENSG00000028116","ENSG00000028116.16",157,2.5,35,5,110,11,458,"VRK2"
