"","ensembl_gene_id","X","C473","C481","LC03","RC02","RC03","LC01","R03","R02","hgnc_symbol"
"31","ENSG00000010244","ENSG00000010244.18",7111.48,345.5285417,0.461538462,904.4375,20.46153846,2360.974828,52.25,1259.137403,"ZNF207"
"32","ENSG00000010404","ENSG00000010404.17",1.49,2464.587708,135.5384615,119.25,3.144615385,1107.042069,0.75,2029.942468,"IDS"
"33","ENSG00000010810","ENSG00000010810.17",8,14.8125,286.0769231,193.8125,9.230769231,418.4137931,453.8333333,140.6753247,"FYN"
"34","ENSG00000011007","ENSG00000011007.12",1,6.171875,1110.692308,3.3125,0.076923077,96.82758621,1797.833333,403.8238961,"ELOA"
"35","ENSG00000011114","ENSG00000011114.14",45,32.64583333,19.84615385,60.25,1.230769231,481.2068966,1.833333333,193.9350649,"BTBD7"
"36","ENSG00000011260","ENSG00000011260.13",11,195.875,0.384615385,0.0625,0.153846154,115.3448276,997,303.2597403,"UTP18"
"37","ENSG00000011295","ENSG00000011295.15",2,2.958333333,637.5384615,0.0625,0.076923077,43.82758621,0.416666667,84.66233766,"TTC19"
"38","ENSG00000012660","ENSG00000012660.13",3,190.375,828.9230769,52.625,3.538461538,724.7241379,946.6666667,250.4155844,"ELOVL5"
"39","ENSG00000012963","ENSG00000012963.14",1,0.868125,41.15,0.0625,0.076923077,7.481034483,1053.78,131.5577922,"UBR7"
"40","ENSG00000013441","ENSG00000013441.15",2,596.625,135.8461538,178.625,5583.846154,2609.172414,2990.666667,1727.571429,"CLK1"
"41","ENSG00000013725","ENSG00000013725.14",1,1.854166667,0.384615385,0.0625,1.153846154,8.620689655,0.25,48.79220779,"CD6"
"42","ENSG00000015479","ENSG00000015479.18",4,1808.535833,0.605384615,722.699375,839.3846154,660.2441379,2368.543333,2265.245584,"MATR3"
"43","ENSG00000018189","ENSG00000018189.12",1406,137.0625,6.153846154,944,0.076923077,209.3793103,143.75,106.7792208,"RUFY3"
"44","ENSG00000019582","ENSG00000019582.14",129815,197261.5417,84206.07692,43327.625,71003.23077,106150.4483,124452.0833,160940.8442,"CD74"
"45","ENSG00000019995","ENSG00000019995.6",1,274.2091667,9.390769231,8.3125,15631.72385,226.4337931,1201.583333,147.5783117,"ZRANB1"
"46","ENSG00000020633","ENSG00000020633.18",1476,473.5416667,876.3846154,799,4.615384615,927.6551724,1764.75,380,"RUNX3"
"47","ENSG00000023445","ENSG00000023445.13",24351,3658.604167,11882.69231,59905.1875,14672.30769,11158.48276,51298.75,8251.051948,"BIRC3"
"48","ENSG00000023734","ENSG00000023734.10",9170,354.1666667,1450.307692,83.0625,625,994.3793103,169.5833333,594.5844156,"STRAP"
"49","ENSG00000023892","ENSG00000023892.10",1367,72.35416667,99.76923077,0.125,0.076923077,0.275862069,0.166666667,159.5714286,"DEF6"
"50","ENSG00000023902","ENSG00000023902.13",55,113.1458333,331.1538462,765.625,42.38461538,330.9310345,0.75,152.5064935,"PLEKHO1"
"51","ENSG00000024048","ENSG00000024048.10",1,346.625,595.2307692,0.0625,60.76923077,0.75862069,53.25,539.6493506,"UBR2"
"52","ENSG00000024862","ENSG00000024862.17",1334,3.083333333,0.923076923,0.0625,0.384615385,3.586206897,0.916666667,416.7532468,"CCDC28A"
"53","ENSG00000025293","ENSG00000025293.16",4,933.6458333,0.384615385,1644.375,24.38461538,323.5172414,151.75,1330.116883,"PHF20"
