"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000027847.13",0.5,0.14,0.0325,141.275
"ENSG00000027869.11",231,144,254.5,621
"ENSG00000028116.16",284,35,8,79.75
"ENSG00000028137.18",1463,2313,2738.5,1538.5
"ENSG00000028203.17",259.5,472,1.3,462.5
"ENSG00000028277.21",91.5,91,242,274.5
"ENSG00000028310.17",172,43,215.5,50.5
"ENSG00000028528.14",597.5,312,158.85,518.5
"ENSG00000028839.9",277.145,869,219.085,394.5
"ENSG00000029363.16",1928,1999,1190.5,1835
"ENSG00000029364.11",87.2,234,228.5,0.6
"ENSG00000029534.19",20.0465,16,0.065,16.435
"ENSG00000029639.10",44.065,24,0.08,0.55
"ENSG00000029725.16",534.5,215,478.35,376.5
"ENSG00000029993.14",114,0.98,35,371.5
"ENSG00000030066.13",1.9,216,71.305,643
"ENSG00000030110.12",0.09,1.6,0.0325,0.105
"ENSG00000030419.16",679.5,756,807.5,705
"ENSG00000030582.17",696.5,126,2.3,757
"ENSG00000031003.10",298.825,49,192,203.5
"ENSG00000031081.10",75.5325,0.018,0.086,0.5015
"ENSG00000031691.6",438.595,0.053,0.033,0.105
"ENSG00000031698.12",757.5,1220,285.58,1714
"ENSG00000031823.14",68.5485,16,0.666,78
"ENSG00000032219.18",1411,586,1497.5,640.5
"ENSG00000032389.12",78.595,181,0.033,51.065
"ENSG00000032444.15",29.21,50,0.112,161.025
"ENSG00000032742.17",10.0325,0.53,115.5325,0.09
"ENSG00000033011.11",23.5,85,7.645,2.25
"ENSG00000033030.13",194.5485,667,112.5,515.6
"ENSG00000033050.7",192,266,0.0825,252
"ENSG00000033170.16",893.5,441,98.5,2.05
"ENSG00000033178.12",811.5,2498,4155.5,3104
"ENSG00000033800.13",825.5,1989,266,447.5
"ENSG00000033867.16",446,40,149.76,1095
"ENSG00000034152.18",81.08,561,431,34.5
"ENSG00000034510.5",20268.5,29130,13513.5,12875.5
"ENSG00000034677.12",1580.5,2020,2084,1015
"ENSG00000034693.14",298.5,0.12,1.166,187.2
"ENSG00000034713.7",313.42,1349,220,490
"ENSG00000035115.21",55.0325,0.018,0.0325,0.47
"ENSG00000035141.7",219.26,2.2,82.275,272.85
"ENSG00000035403.17",49,0.12,0.162,0.8395
"ENSG00000035664.11",159.08,231,15,238.5
"ENSG00000035681.7",66.016,74,304.5,105.5
"ENSG00000035687.9",168.5,657,143.195,648
"ENSG00000035720.7",4.016,0.44,9.655,1.9
"ENSG00000035862.12",0.35,0.12,0.62,5.5
"ENSG00000035928.15",451.5,260,266,308
"ENSG00000036054.12",383.5,394,793.1,763
"ENSG00000036257.12",183.5,330,278.15,241
"ENSG00000036549.12",230,862,0.0825,64.4
"ENSG00000037241.7",409,365,1.017,182.5
"ENSG00000037474.14",71.84,1,82.155,76.5
"ENSG00000037637.10",124.145,544,0.101,150.55
"ENSG00000037757.13",21,51,78.05,5.075
"ENSG00000037897.16",1.095,0.035,510.5,0.34
"ENSG00000038210.12",23.0325,2.4,7.895,79
"ENSG00000038219.12",697,979,1509.5,1108
"ENSG00000038274.16",1272.5,1229,2105.5,2196
"ENSG00000038382.18",0.0575,24,0.016,0.13
"ENSG00000038532.14",6.5325,7.9,38.0485,1.275
"ENSG00000038945.14",2.228,0.018,0.375,135.12
"ENSG00000039068.18",273,0.035,0.1875,0.13
"ENSG00000039123.15",179,510,17,26.5
"ENSG00000039319.16",166,236,291.05,4.85
"ENSG00000039523.19",0.0645,0.035,17.58,14
"ENSG00000039650.11",5.635,40,4.2,253.29
"ENSG00000040199.18",491.5,3.8,0.0655,64.5
"ENSG00000040341.17",226.5,129,15.0325,76
"ENSG00000040633.12",267.5,2.4,14,0.745
"ENSG00000040933.15",502.5,215,81.74,84.5
"ENSG00000041357.15",1536,2311,1535,1749
"ENSG00000041802.10",227,294,468,32.5
"ENSG00000042088.13",52,0.035,128.5,239
"ENSG00000042286.14",24,0.28,124.5,0.013
"ENSG00000042429.11",497,4.9,381.5,851.5
"ENSG00000042493.15",1011.5,665,43.5,395
"ENSG00000042753.11",136.45,323,75.85,153.7
"ENSG00000042980.12",15.63,0.42,30.26,16.075
"ENSG00000043093.13",1193.5,621,1560.5,1339.5
"ENSG00000043143.20",72.66,74,76.595,278.5
"ENSG00000043462.11",493.5,1163,294.5,183.45
"ENSG00000043514.15",0.016,5.1,3.1,187
"ENSG00000044115.20",481,788,201.21,348
"ENSG00000044446.11",27.65,0.32,1.666,0.663
"ENSG00000044459.14",0.34,0.18,0.083,0.013
"ENSG00000044574.7",1942.5,3604,855,2343
"ENSG00000046647.13",14.85,137,70.016,4.5
"ENSG00000046651.14",1235.5,1350,908.5,1195.5
"ENSG00000046653.14",34.0485,107,0.8,11.0395
"ENSG00000047056.14",114.016,0.18,1.9825,76.575
"ENSG00000047188.15",302.905,111,99.095,36.6
"ENSG00000047230.14",475.35,47,0.016,7
"ENSG00000047249.17",83.225,68,164.76,168.5
"ENSG00000047315.15",453.5,163,1207,277
"ENSG00000047346.12",1089,475,221,35.1
"ENSG00000047365.11",2656,1453,799,846.5
"ENSG00000047410.13",2154,3058,911,2880
"ENSG00000047579.19",22.615,106,0.0325,33.025
"ENSG00000047621.11",9.0325,668,0.033,0.145
"ENSG00000047634.14",158,210,0.13,0.1
"ENSG00000047644.18",177,0.07,17.5,0.27
"ENSG00000047849.21",196.5,210,410.5,126.575
"ENSG00000047932.13",43.615,237,80.55,1.625
"ENSG00000048028.11",112.5,35,2.7485,72.55
"ENSG00000048052.21",1.08,0.7,87.516,2.97
"ENSG00000048162.20",577.5,664,497.5,119.5
"ENSG00000048392.11",70.5325,0.14,0.0325,369.855
"ENSG00000048405.9",430.5,264,521,504.5
"ENSG00000048462.10",0.23,0.11,0.505,14.555
"ENSG00000048471.13",112.5,21,126.74,0.23
"ENSG00000048544.5",133.5,206,277.175,155.3
"ENSG00000048649.13",508,2156,1317.5,929
"ENSG00000048707.13",121.5325,1.3,124,3.18
"ENSG00000048740.18",932.5,2593,2385,668
"ENSG00000048828.16",766,419,1954,565
"ENSG00000048991.16",23.5,344,323,20.2
"ENSG00000049239.12",74.85,45,39.516,6.525
"ENSG00000049245.12",129.5,122,0.24,7
"ENSG00000049246.14",7.05,0.096,0.065,300.5
"ENSG00000049247.13",103.35,700,135,739
"ENSG00000049249.8",804.5,1281,541.5,1752.5
"ENSG00000049449.8",15.345,0.018,0.5485,0.038
"ENSG00000049541.10",74.5,325,13.645,185.025
"ENSG00000049618.22",1499,401,660.5,466.5
"ENSG00000049656.13",41.905,0.4,158.85,509.5
"ENSG00000049759.17",29.065,0.053,0.065,138.525
"ENSG00000049768.14",102.5,598,315,357.5
"ENSG00000049769.12",2.565,141,0.017,47.5
"ENSG00000049860.13",143.4,254,1.12,613.5
"ENSG00000050130.17",398,113,327,66.5
"ENSG00000050165.17",14.016,255,0.0485,125.5
"ENSG00000050327.14",30.23,7.1,0.017,0.5
"ENSG00000050344.8",139,421,221,152.12
"ENSG00000050393.11",62.275,179,2.095,66
"ENSG00000050405.13",799,153,344.5,116.05
"ENSG00000050426.15",53.0485,215,40.71,88.685
"ENSG00000050730.15",463,351,443.6,238.5
"ENSG00000050748.17",43.08,452,103.016,111.025
"ENSG00000051108.14",3266.5,4226,2200,4517.5
"ENSG00000051523.10",275,64,0.311,16
"ENSG00000051596.9",79.13,4.1,103.755,200.765
"ENSG00000051620.10",1.75,500,100.5,155.5
"ENSG00000051825.14",118.725,313,71.5485,216
"ENSG00000052126.14",0.377,140,91.305,0.28
"ENSG00000052723.11",555,1009,1.64,447.5
"ENSG00000052749.13",3.1325,1.3,0.017,12.265
"ENSG00000052795.12",0.176,0.21,606.37,285.145
"ENSG00000052802.12",113.855,21,0.322,393.025
"ENSG00000052841.14",117,306,73,158.5
"ENSG00000053254.15",143,321,77.45,445.5
"ENSG00000053371.12",38.25,17,251.5,1.025
"ENSG00000053372.4",59.725,0.3,0.502,0.485
"ENSG00000053501.12",101.13,378,0.121,262.5
"ENSG00000053524.12",16.0485,0.018,0.082,0.1515
"ENSG00000053770.11",93,294,13.5325,427.5
"ENSG00000053900.10",68.016,125,1376.5,39.2
"ENSG00000054116.11",58.1,77,0.033,149.55
"ENSG00000054118.13",6483.5,3386,4017.5,5301.5
"ENSG00000054148.17",1082.5,1419,648.35,404.5
"ENSG00000054219.10",722.5,923,660,486.35
"ENSG00000054267.21",1952,2496,2277,2374.5
"ENSG00000054277.13",0.277,0.11,0.3085,0.2645
"ENSG00000054282.15",235.84,295,1.24,0.72
"ENSG00000054392.12",0.021,32,0.0345,0.025
"ENSG00000054523.17",177.5,631,89,2.49
"ENSG00000054611.13",20.5325,1.4,48.17,7
