"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000065154.11",151.2,186,1.995,318
"ENSG00000065243.19",811.5,317,104.93,192
"ENSG00000065308.4",24.516,79,0.065,0.105
"ENSG00000065357.19",288.675,245,522,641.5
"ENSG00000065413.18",1273.5,334,806.5,2203.5
"ENSG00000065427.14",401,1377,182,474
"ENSG00000065485.19",0.087,0.053,0.16,0.088
"ENSG00000065491.8",40.5,94,1.167,0.0395
"ENSG00000065518.7",1439,1651,530.5,949
"ENSG00000065526.10",773,233,913,1192
"ENSG00000065548.17",749.5,1092,517.5,492
"ENSG00000065559.14",57.5,279,176,19.4
"ENSG00000065600.12",46.5,0.16,212,0.013
"ENSG00000065613.13",654,1637,659,819
"ENSG00000065615.13",179.2,466,241.5,42.12
"ENSG00000065665.20",4.966,0.42,0.016,8.025
"ENSG00000065675.14",235.5,483,0.25,104
"ENSG00000065802.11",39.016,102,10.016,62.2
"ENSG00000065809.13",943.5,2595,3293.5,2887
"ENSG00000065882.15",40.405,2,1.917,0.315
"ENSG00000065883.14",428,575,103.95,238.5
"ENSG00000065911.11",967,1564,630.4,581.5
"ENSG00000065923.9",131.0325,433,0.29,0.36
"ENSG00000065970.8",102.645,14,0.016,103
"ENSG00000065978.18",2102.5,5098,3515,5729.5
"ENSG00000065989.15",279,1108,289.5,444
"ENSG00000066027.11",142,138,581,8.21
"ENSG00000066044.14",164.35,229,0.36,622.55
"ENSG00000066084.12",39.5,170,0.066,0.013
"ENSG00000066117.14",78,149,42.2,0.16
"ENSG00000066136.20",69.71,121,78.74,29.65
"ENSG00000066279.17",29.5,100,0.235,128
"ENSG00000066294.14",639.5,461,582.5,519
"ENSG00000066322.14",302,2.1,0.1185,109.1
"ENSG00000066379.14",91.675,349,471,630
"ENSG00000066422.4",336,215,430.5,126.55
"ENSG00000066427.21",169.66,309,144,289
"ENSG00000066455.12",35.15,88,18.57,52.55
"ENSG00000066557.5",37,388,0.435,672.5
"ENSG00000066583.11",162.5,142,785.55,417.4
"ENSG00000066651.18",626,0.25,33,193.5
"ENSG00000066654.13",1098.5,1264,839.5,2091
"ENSG00000066697.14",0.665,0.63,119.105,17.5
"ENSG00000066739.11",88.45,391,10.0325,14.6
"ENSG00000066777.8",132.5,208,0.305,162.5
"ENSG00000066855.15",8.08,0.07,1.1,1.3265
"ENSG00000066923.17",1.485,4.3,0.017,4.45
"ENSG00000066926.10",173.35,91,0.016,364.025
"ENSG00000066933.15",440.5,83,0.84,224
"ENSG00000067057.16",166,487,244,84.225
"ENSG00000067064.10",2197,3080,1232.5,229
"ENSG00000067066.16",889.5,1362,733,1206.5
"ENSG00000067082.14",3198.5,12909,2892,9740
"ENSG00000067113.16",121.245,7.5,0.44,39.255
"ENSG00000067167.7",2154,1364,208.5,2478
"ENSG00000067182.7",21.34,68,1.3,118.075
"ENSG00000067208.14",0.5915,0.053,0.325,0.925
"ENSG00000067225.17",1206,1543,2421,959.5
"ENSG00000067248.9",1088,273,204.26,15.275
"ENSG00000067334.13",1197,3572,814,2045.5
"ENSG00000067369.13",58.5485,111,92.565,62.5
"ENSG00000067533.5",363.5,108,384.0345,1050
"ENSG00000067560.10",3716,4718,2939.5,3568
"ENSG00000067596.10",54.675,350,5.115,97
"ENSG00000067704.9",61.87,88,43.05,111.5
"ENSG00000067829.18",329.5,589,285.05,24.55
"ENSG00000067900.7",1010,1185,611,1905.5
"ENSG00000067955.13",1437.5,708,7.085,373
"ENSG00000067992.12",96.6,0.14,0.2095,101.5
"ENSG00000068024.16",100.145,279,8.016,55
"ENSG00000068028.17",6.87,296,29.695,5
"ENSG00000068079.7",173.66,33,0.0325,0.49
"ENSG00000068097.14",48.15,28,7.017,0.145
"ENSG00000068120.14",10.74,16,98.0325,84.7
"ENSG00000068305.17",17.975,3.7,344.5,637
"ENSG00000068308.13",110,413,24.225,826.63
"ENSG00000068323.16",37.095,57,234.5,51.5
"ENSG00000068354.15",70,213,0.5195,0.485
"ENSG00000068366.19",210.55,297,329.016,1183.5
"ENSG00000068394.10",14.58,43,308.5,321.5
"ENSG00000068400.13",179.34,64,174.0485,38.2
"ENSG00000068438.14",18.516,82,0.24,38.075
"ENSG00000068489.12",0.315,0.93,0.016,66.105
"ENSG00000068650.18",91,0.088,89.21,0.0515
"ENSG00000068654.15",13.016,16,0.115,2.48
"ENSG00000068697.6",340,639,1.675,503
"ENSG00000068724.15",19.5,45,0.0505,1.95
"ENSG00000068745.14",316.5,211,474.5,532
"ENSG00000068784.12",3.755,0.018,0.0345,62.17
"ENSG00000068796.16",399.5,176,1286.5,701
"ENSG00000068831.18",21.65,1.3,0.08,0.6395
"ENSG00000068878.14",295.05,452,440,584.5
"ENSG00000068885.14",54.58,212,1.1,0.055
"ENSG00000068903.19",66.15,199,0.0485,128
"ENSG00000068912.13",938,986,375.4,1031
"ENSG00000069020.18",653,707,891,1308.5
"ENSG00000069248.11",9.5325,21,0.245,0.23
"ENSG00000069275.12",1111.5,1600,621.5,2270
"ENSG00000069329.16",531.5,1152,383,406
"ENSG00000069345.11",419.5,969,359.5,430
"ENSG00000069399.14",41.6,28,0.375,95.2
"ENSG00000069424.14",70.5,116,286.5,12.6
"ENSG00000069431.11",0.267,0.07,0.016,0.205
"ENSG00000069493.14",5100.5,5781,4584.5,5265.5
"ENSG00000069509.5",58.13,0.035,0.43,0.0395
"ENSG00000069667.15",3519.5,5296,1643,3991.5
"ENSG00000069702.10",82.885,256,7,0.38
"ENSG00000069849.10",4984.5,7268,1889.5,3096
"ENSG00000069869.15",16.84,914,0.097,8.605
"ENSG00000069943.9",116.0485,216,263.017,0.135
"ENSG00000069956.11",234,472,297.5,90
"ENSG00000069966.18",72.15,331,0.016,16.55
"ENSG00000069974.15",1110.5,2051,1384.5,1131
"ENSG00000070010.18",537,1573,683.5,1084
"ENSG00000070047.11",19,7.3,0.29,90.5
"ENSG00000070061.14",240,39,52,2.965
"ENSG00000070081.15",165,525,342,475.5
"ENSG00000070190.12",813.5,1236,958.5,384
"ENSG00000070214.15",82.805,0.018,0.45,37.95
"ENSG00000070367.15",295,688,237.5,1073.5
"ENSG00000070423.17",13.5485,0.14,0.0325,20.925
"ENSG00000070444.14",9.87,0.07,81.65,0.445
"ENSG00000070476.14",0.125,164,0.016,0.275
"ENSG00000070495.14",530.5,1012,137,772.5
"ENSG00000070501.11",89.25,315,0.255,0.285
"ENSG00000070540.12",7.145,332,0.205,56.125
"ENSG00000070610.14",0.4975,24,0.017,114.05
"ENSG00000070669.16",292,143,0.0345,6.7
"ENSG00000070718.11",221.5,821,0.0655,649.5
"ENSG00000070756.15",6230.5,11822,6473,7438
"ENSG00000070761.7",41.5,538,395.93,987.5
"ENSG00000070770.8",812,668,665,779
"ENSG00000070785.16",27,83,15.5,253.55
"ENSG00000070814.17",129,86,12.016,48.5
"ENSG00000070831.15",8307.5,12324,6949,12887.5
"ENSG00000070882.12",240,163,259.645,50.29
"ENSG00000070950.9",811.5,374,3.3825,25.8
"ENSG00000070961.15",2188,291,630,1965
"ENSG00000071051.13",377.5,133,318.5,679.5
"ENSG00000071054.16",623.5,263,236.65,104.05
"ENSG00000071073.12",3763.5,2795,2432,577.5
"ENSG00000071082.10",4934.5,8446,3525.5,3006.5
"ENSG00000071127.16",151.5,651,188.35,634
"ENSG00000071189.21",6.5485,61,12.55,414.5
"ENSG00000071205.11",41.15,0.46,1.9325,0.105
"ENSG00000071243.15",377.6,1721,0.55,1253
"ENSG00000071246.10",0.007,0.053,0.017,0.0815
"ENSG00000071462.11",309.42,2059,619.4,185.5
"ENSG00000071537.13",1873.5,77,486,1009.5
"ENSG00000071553.16",138.275,44,339.5,128.025
"ENSG00000071564.14",14.595,0.82,45.45,102
"ENSG00000071575.11",837.5,559,851.5,71.63
"ENSG00000071626.16",14.095,6.2,116.5,356.5
"ENSG00000071655.17",47.275,165,0.08,0.963
"ENSG00000071794.15",132.5,56,0.435,6.1
"ENSG00000071859.14",142,322,0.097,192
"ENSG00000071889.16",44.016,0.11,0.065,0.038
"ENSG00000071894.16",8.115,0.23,69.016,0.9
"ENSG00000071994.10",311.5,446,275.5,166
"ENSG00000072042.12",305.05,542,56.97,627
"ENSG00000072062.13",13.645,0.088,0.212,62.645
"ENSG00000072110.13",0.67,0.21,1.17,76.5
"ENSG00000072121.15",0.465,73,0.13,9.1
"ENSG00000072134.15",43.35,49,0.07,0.13
"ENSG00000072135.12",74.325,68,179,348.5
"ENSG00000072201.13",150.55,0.39,79.5,0.13
"ENSG00000072210.18",82.985,11,0.016,12.025
"ENSG00000072274.12",1012,744,1074.5,573.5
"ENSG00000072364.12",90.47,489,165.395,294.575
"ENSG00000072401.14",25.1,171,0.365,202.55
"ENSG00000072415.8",0.0345,89,0.375,0.088
"ENSG00000072501.17",793,306,108,1330.5
"ENSG00000072506.12",284,672,872.07,147.55
"ENSG00000072518.20",36.016,0.11,1.165,0.913
"ENSG00000072571.19",41.507,0.053,0.2295,5.513
"ENSG00000072609.17",579,66,0.132,0.85
"ENSG00000072694.20",5.13,0.74,0.29,0.595
"ENSG00000072736.18",159.28,814,11.516,54.57
"ENSG00000072756.16",143,171,0.0985,53.1
"ENSG00000072778.19",239,346,40.5,145.5
"ENSG00000072786.12",467.5,68,28.016,167.4
"ENSG00000072803.17",62.5325,183,0.6845,180
"ENSG00000072818.11",345,338,98.9,220
"ENSG00000072849.10",2040,630,1632.5,1128.5
"ENSG00000072864.14",144,448,0.0495,43.65
"ENSG00000072958.8",114,150,0.38,763.5
"ENSG00000073050.11",2.066,35,0.0655,0.17
"ENSG00000073060.15",0.55,0.018,0.0485,71
"ENSG00000073111.13",0.2,0.018,119.07,8.5
"ENSG00000073169.13",0.65,0.035,130.5,0.09
"ENSG00000073331.17",24.39,0.71,0.18,0.1695
"ENSG00000073350.13",21.0485,30,0.016,0.065
"ENSG00000073417.14",43.825,119,423.565,0.34
"ENSG00000073536.17",0.246,0.33,0.0325,12.775
"ENSG00000073578.16",234,623,558.5,413.5
"ENSG00000073584.18",1566,2236,1612.5,1568
"ENSG00000073605.18",1.225,195,7,0.0265
"ENSG00000073614.12",1609.5,1496,798,899
"ENSG00000073712.14",0.1285,0.035,74,0.1515
"ENSG00000073756.11",0.0625,0.33,44.7,0.71
"ENSG00000073803.13",72.65,259,112.325,1.17
"ENSG00000073849.14",30,17,197.79,374.1
"ENSG00000073905.8",0.635,0.45,0.13,0.275
"ENSG00000073921.17",373,6.1,466.5,2.45
"ENSG00000073969.18",26.08,83,0.0855,351
"ENSG00000074054.17",92.115,304,414.5,4.3
"ENSG00000074071.14",797,159,127.145,290.2
"ENSG00000074201.8",606.5,470,127.775,1593.5
"ENSG00000074266.19",185.4,874,1066,1382.5
"ENSG00000074319.12",144.95,185,1.43,237.5
"ENSG00000074356.16",169.47,777,538.37,109.91
"ENSG00000074370.17",82.5,0.21,0.965,550.5
"ENSG00000074416.13",1.5,0.14,0.18,0.08
"ENSG00000074603.18",189.5,264,215.2,381.5
"ENSG00000074695.5",1228,829,119,828.5
"ENSG00000074696.12",212.4,756,231.517,943.5
"ENSG00000074706.13",291.75,664,1455,559
"ENSG00000074755.14",220.145,65,682.55,170.15
"ENSG00000074800.13",3641.5,4873,3045,5275
"ENSG00000074842.7",523,704,327,749
"ENSG00000074966.10",77.5,20,20.2,18.265
"ENSG00000075089.9",121.1,94,468,195.175
"ENSG00000075142.13",628,788,365,1458
"ENSG00000075151.20",880.5,485,458.355,72.5
"ENSG00000075188.8",21,0.12,0.175,0.105
"ENSG00000075239.13",293.75,316,202.155,371.5
"ENSG00000075240.16",16.0325,26,176.5,35.5395
"ENSG00000075292.18",440.2,767,1105.5,461.225
"ENSG00000075407.18",17.675,0.35,0.805,80.6
"ENSG00000075413.17",850.5,213,273.5,139.625
"ENSG00000075415.12",569.45,1632,809.5,1214
"ENSG00000075420.12",56,263,4.9,428.65
"ENSG00000075426.11",2549,533,710,890.5
"ENSG00000075539.14",743.5,164,471.565,773.5
"ENSG00000075568.16",50.4,514,152.595,367.725
"ENSG00000075624.13",70273,69146,44276,61680
"ENSG00000075651.15",0.0485,0.11,0.305,0.1
"ENSG00000075711.20",449,21,92.5,106.1
"ENSG00000075785.12",262,2146,85.4,2361
"ENSG00000075790.10",59.4,370,0.17,73.05
"ENSG00000075856.11",149.5,1.2,8.58,4.425
"ENSG00000075884.13",1117.5,1399,497,1823
"ENSG00000075914.12",38.13,43,23,31.05
"ENSG00000075945.12",135.34,244,169.725,103.15
"ENSG00000075975.15",146.5,156,582,60.75
"ENSG00000076003.4",881,1537,580,225
"ENSG00000076043.9",382,1120,578.5,445.5
"ENSG00000076053.10",122.095,668,315,97.5
"ENSG00000076067.12",11.95,0.035,0.0495,0.1615
"ENSG00000076108.11",404.5,316,419,653.5
"ENSG00000076201.14",7.5,24,0.0345,8.5
"ENSG00000076242.14",76.71,550,102,172.05
"ENSG00000076248.10",127.5,0.14,402.05,0.265
"ENSG00000076321.10",60,115,14.75,168.5
"ENSG00000076382.16",2.5,0.018,0.6485,0.17
"ENSG00000076513.16",221.5,163,522,223.5
"ENSG00000076554.15",80.87,1268,191,152.4
"ENSG00000076604.14",62.5,53,21.25,9
"ENSG00000076641.4",1168,1895,388.595,955
"ENSG00000076662.9",450.5,703,243.517,300
"ENSG00000076685.18",43.85,72,471,1.225
"ENSG00000076706.16",94.65,420,495,0.6265
"ENSG00000076770.14",15.8,239,0.17,1.35
"ENSG00000076928.17",193,145,96.42,73.7
"ENSG00000076944.15",20.5,15,72.5345,38.8
"ENSG00000076984.17",23,50,13.5,162.35
"ENSG00000077044.10",37.0485,32,0.1335,118.35
"ENSG00000077097.15",1021,1221,133,558.5
"ENSG00000077147.14",774,529,18.84,374.4
"ENSG00000077150.18",19.305,47,17,65.5
"ENSG00000077152.9",58.5,155,0.256,3.4395
"ENSG00000077232.17",140.5,213,58,235
"ENSG00000077235.17",135.5,145,395,122.55
"ENSG00000077238.13",159.7,308,74,725
"ENSG00000077254.14",305.305,945,1070.5,305.315
"ENSG00000077348.8",47.8,15,10.017,367.5
"ENSG00000077380.15",149.5,271,50,520.5
"ENSG00000077420.15",2819,1467,752.5,3059
"ENSG00000077454.15",6.5325,0.53,273.5,0.0765
"ENSG00000077458.12",26.4,39,264,40.17
"ENSG00000077514.8",115.37,0.58,645,259.5
"ENSG00000077549.17",2396.5,1991,383.5,798.5
"ENSG00000077585.13",30.8,43,1.18,0.315
"ENSG00000077684.15",544,61,1.07,71.5
"ENSG00000077721.15",210.1,684,897,1334
"ENSG00000077782.19",0.016,0.035,162,46.5
"ENSG00000077984.5",3709.5,2967,494.5,1675.5
"ENSG00000078043.15",87.16,1.5,95.5,131
"ENSG00000078061.12",117.76,426,0.55,0.21
"ENSG00000078070.12",38.516,0.035,192,175.025
"ENSG00000078081.7",0.007,3.9,1.125,32
"ENSG00000078124.11",306.5,459,22.24,5.05
"ENSG00000078140.13",2770.5,692,1178,1249.5
"ENSG00000078142.12",61.55,0.26,71.016,554
"ENSG00000078177.13",281.08,471,251.62,1064
"ENSG00000078237.6",48.1,936,34.645,0.355
"ENSG00000078246.16",12.5325,82,1.666,0.195
"ENSG00000078269.14",35.5485,58,356.5,1.55
"ENSG00000078304.19",9147,4822,4919,10493.5
"ENSG00000078319.9",11.065,199,51,69.5
"ENSG00000078369.17",470,662,420,459.5
"ENSG00000078403.16",393.5,345,249.5,232
"ENSG00000078589.12",1588.5,404,528,555
"ENSG00000078596.10",6684.5,7244,4459.5,6389
"ENSG00000078618.21",409.5,903,270.5,398
"ENSG00000078668.13",861.5,1405,1538,849.5
"ENSG00000078674.17",970,1309,719.5,775
"ENSG00000078687.17",153.5,18,10.95,118.5
"ENSG00000078699.21",22.5325,167,462.76,874.05
"ENSG00000078747.14",711,31,43.3,105.6
"ENSG00000078808.16",115.13,156,0.4,87
"ENSG00000078902.15",272.8,130,0.082,133.4
"ENSG00000078967.12",142,16,0.0325,779
"ENSG00000079112.9",0.0325,0.91,0.017,0.105
"ENSG00000079134.11",133,32,52.58,7.275
"ENSG00000079246.15",2537.5,1303,1083,3531
"ENSG00000079257.7",72.0485,373,0.065,10.5
"ENSG00000079263.18",306.5,376,389.2,399.5
"ENSG00000079277.19",600.5,306,79,86
"ENSG00000079332.14",4740.5,3783,1174,3096.5
"ENSG00000079335.18",365,29,16.065,131.0395
"ENSG00000079387.13",28,50,13.5,0.913
"ENSG00000079459.12",643,623,778.5,948
"ENSG00000079462.7",5.2,61,111,45.75
"ENSG00000079482.12",0.41,0.74,0.33,0.445
"ENSG00000079616.12",233.5,38,16.16,1.95
"ENSG00000079691.17",3.375,0.16,0.79,48.735
"ENSG00000079739.15",87.1,97,24.5,15
"ENSG00000079785.14",129.65,392,262,546
"ENSG00000079805.16",60.645,161,253,16.1
"ENSG00000079819.18",99.5,8.8,0.2725,0.205
"ENSG00000079950.13",2.545,187,77.0325,74.25
"ENSG00000079999.13",23.565,0.14,0.18,0.55
"ENSG00000080007.7",192.5,0.053,10.5,5.25
"ENSG00000080298.15",122.5,23,177.07,29.4
"ENSG00000080345.17",764.5,716,354,3292.5
"ENSG00000080371.5",654.5,711,750.5,457
"ENSG00000080503.22",1367,887,558,213.1
"ENSG00000080546.13",156.05,0.53,0.5,9.185
"ENSG00000080603.16",522.2,32,69.5,1.025
"ENSG00000080608.9",782,1116,662.5,1204.5
"ENSG00000080802.18",762,1099,244,636
"ENSG00000080815.18",175.34,724,32.2,853
"ENSG00000080819.6",36.5325,803,18.516,0.17
"ENSG00000080822.16",3626.5,4521,2404,3969
"ENSG00000080823.22",30.016,10,0.65,31.5
"ENSG00000080824.18",4903,10868,11325,14662.5
"ENSG00000080839.11",81.5485,61,95,494.5
"ENSG00000080845.17",61.5,221,3.87,23.9
"ENSG00000080986.12",30.05,220,0.2095,306.59
"ENSG00000081014.10",39.5,536,0.085,61.62
"ENSG00000081019.13",714,1163,1148,615
"ENSG00000081026.18",10.5,0.035,0.0655,0.025
"ENSG00000081041.8",2.255,28,8,36.4
"ENSG00000081059.19",385,726,223.065,405.5
"ENSG00000081087.14",387.5,345,0.915,208.75
"ENSG00000081154.11",2027.5,1002,748,1222.5
"ENSG00000081177.18",25.5,0.018,0.0325,7.525
"ENSG00000081181.7",0.215,16,0.966,252.75
"ENSG00000081189.15",21.5,0.58,2.066,4.95
"ENSG00000081237.18",13587,15165,10470,13060
"ENSG00000081307.12",102.725,109,40.58,101
"ENSG00000081320.10",20449,13750,7660,26942
"ENSG00000081665.13",28.63,258,0.095,0.115
"ENSG00000081692.12",0.273,34,0.115,0.09
"ENSG00000081721.11",123.65,835,113.017,185.35
"ENSG00000081760.16",62.05,0.018,8.0485,70.59
"ENSG00000081791.8",15.47,0.11,298.71,127.7
"ENSG00000081870.11",1618.5,2318,226,305.5
"ENSG00000081985.10",13.9,165,114.4,0.09
"ENSG00000082068.8",83.5,80,0.067,374.95
"ENSG00000082074.15",7437.5,7365,6033.5,5889.5
"ENSG00000082153.17",3399.5,6733,2202.5,5049
"ENSG00000082212.12",169.115,2.9,0.445,283
"ENSG00000082213.17",91.016,575,0.083,20.35
"ENSG00000082258.12",26.675,930,129.85,193.4
"ENSG00000082438.15",0.966,2.2,153.855,107.825
"ENSG00000082458.11",9.4,0.58,0.0495,0.185
"ENSG00000082512.14",372,372,574.105,736
"ENSG00000082515.17",775.5,758,1088,1231.5
"ENSG00000082641.15",118,226,288.5,5.7
"ENSG00000082701.14",66.405,159,29.8,7.4
"ENSG00000082805.19",31.275,10,0.59,3.435
"ENSG00000082898.16",105.13,36,78.0345,348
"ENSG00000082996.19",195.34,273,0.995,9.8
"ENSG00000083093.9",46.5,40,0.065,1.05
"ENSG00000083097.14",36.65,0.82,1.167,0.09
"ENSG00000083099.10",143,374,0.915,10
"ENSG00000083123.14",0.6985,86,0.37,0.063
"ENSG00000083168.9",275,412,1007,221.5
"ENSG00000083223.17",914,980,543,1197
"ENSG00000083312.17",69.85,151,2.05,170.5
"ENSG00000083454.21",82.5485,2.1,188.5,24.55
"ENSG00000083457.11",784,1369,126.75,887
"ENSG00000083520.14",102.85,163,14.0345,189.5
"ENSG00000083535.15",286.5,0.12,236,317.5
"ENSG00000083544.13",12.95,268,72.615,33.5
"ENSG00000083642.18",3592.5,638,1540,1000
"ENSG00000083720.12",130,6.5,418,524
"ENSG00000083750.12",15.0325,22,216.725,0.445
"ENSG00000083799.17",970.5,2150,690,1573.5
"ENSG00000083807.9",1.064,0.018,0.0325,0.0645
"ENSG00000083828.15",262,75,0.112,72.025
"ENSG00000083844.10",51.565,0.26,520.517,20.55
"ENSG00000083845.8",2194,3022,1562.5,1662.5
"ENSG00000083857.13",0.0555,0.035,22.5,0.0645
"ENSG00000083896.12",730,886,220.5,1079.5
"ENSG00000083937.8",891,675,1149,546
"ENSG00000084070.11",1281,1091,2461.5,1178.5
"ENSG00000084072.16",350.85,584,88.45,771
"ENSG00000084073.8",265.15,1863,2.24,731.5
"ENSG00000084090.13",1306.5,1903,1173.5,1690.5
"ENSG00000084092.6",20.115,230,0.39,21.33
"ENSG00000084093.16",468,418,343.5,731.5
"ENSG00000084112.14",256.42,393,959.5,173
"ENSG00000084207.15",800.5,1304,276.5,759
"ENSG00000084234.16",578,722,132.7,847.5
"ENSG00000084444.13",0.007,109,238,0.1015
"ENSG00000084463.7",1063.5,1256,508,807.5
"ENSG00000084623.11",655,1874,21.2,749.5
"ENSG00000084652.15",366,316,619.5,768
"ENSG00000084676.15",303.2,382,237,717.5
"ENSG00000084693.15",2.666,1,131.85,0.47
"ENSG00000084731.14",68,0.018,0.0485,0.105
"ENSG00000084733.10",632,1890,1259,1496.5
"ENSG00000084754.10",999,1444,477.12,1518.5
"ENSG00000085063.14",880.5,298,1818.5,1468
"ENSG00000085117.11",1075.5,445,573.2,774
"ENSG00000085224.21",3083,4296,2632,3673
"ENSG00000085231.13",922,237,452,285.55
"ENSG00000085265.10",0.095,0.088,0.145,0.025
"ENSG00000085274.15",586,0.14,0.1335,449.5
"ENSG00000085365.17",683.5,484,222,381.5
"ENSG00000085377.13",55.065,259,343.5,151.305
"ENSG00000085382.11",19.5,0.25,0.017,112.5
"ENSG00000085415.15",636.5,268,0.0505,1.55
"ENSG00000085433.15",77.4,171,0.28,174.565
"ENSG00000085449.14",11.095,935,14.195,180.125
"ENSG00000085491.15",78,472,190.45,321.025
"ENSG00000085511.19",362.5,185,215.5,68.5
"ENSG00000085563.14",67.5,399,15,53.55
"ENSG00000085662.13",359.5,43,548.5,669
"ENSG00000085719.12",544.5,406,8.08,159.275
"ENSG00000085721.12",123.14,84,0.6,215.6
"ENSG00000085733.15",4.007,232,0.0495,112.05
"ENSG00000085760.14",140.5,23,189.58,0.055
"ENSG00000085788.13",28.725,12,232.565,17.605
"ENSG00000085832.16",448,1391,5.255,662
"ENSG00000085871.8",1.207,152,217,0.013
"ENSG00000085872.14",45.9,38,0.7485,80.275
"ENSG00000085978.21",47.71,426,16.07,73.195
"ENSG00000085998.13",14.516,174,0.016,61.195
"ENSG00000086061.15",2418,3821,1167,1736
"ENSG00000086062.12",15734.5,8033,8364,6618.5
"ENSG00000086065.13",119,747,68.695,335
"ENSG00000086102.18",263,11,714,0.935
"ENSG00000086189.9",149.016,189,4.245,88.5
"ENSG00000086200.16",12.695,0.28,0.0345,0.145
"ENSG00000086232.12",579,148,266,46.5
"ENSG00000086300.15",289.125,0.95,24.5,0.21
"ENSG00000086475.14",44.065,0.35,36,237.075
"ENSG00000086504.15",86.75,25,170.5,18.875
"ENSG00000086548.8",0.8325,0.07,0.816,1.75
"ENSG00000086589.11",1044,1442,9,981
"ENSG00000086598.10",1356,1722,1298,3117
"ENSG00000086619.13",15.5,91,4.035,137.5
"ENSG00000086666.18",2758.5,1617,303,1025
"ENSG00000086712.12",160,566,443.66,131.5
"ENSG00000086730.16",7.5325,1,0.0505,10.025
"ENSG00000086758.15",546.6,525,342.4,243
"ENSG00000086848.14",8.521,0.088,22.5,0.0515
"ENSG00000087008.15",25.76,28,0.017,0.013
"ENSG00000087053.18",92.55,0.4,0.0325,0.22
"ENSG00000087074.7",708.5,434,30.9,426
"ENSG00000087077.13",36.565,0.018,0.136,0.08
"ENSG00000087086.14",15462.5,29686,5250.5,18785.5
"ENSG00000087087.19",73,16,342.5,8.7
"ENSG00000087088.19",0.46,27,0.0325,188.5
"ENSG00000087095.12",0.29,52,0.016,0.025
"ENSG00000087111.20",29.5485,128,0.162,0.105
"ENSG00000087152.15",11.145,0.14,8.05,0.0645
"ENSG00000087157.18",441.5,12,58.615,1.15
"ENSG00000087191.12",709,504,81.5,786.25
"ENSG00000087206.16",35,207,73,65.55
"ENSG00000087253.12",0.332,0.018,0.16,0.125
"ENSG00000087263.16",204.55,379,4.316,80.4
"ENSG00000087269.15",47.016,12,125,110.5
"ENSG00000087274.16",258,658,527.5,519
"ENSG00000087301.8",13.5,640,0.1185,73.59
"ENSG00000087302.8",1437.5,1384,517,274
"ENSG00000087338.4",40.0485,98,344.5,338
"ENSG00000087365.15",590,847,210,449.5
"ENSG00000087460.24",5518.5,4773,6393.5,5195
"ENSG00000087470.17",448.5,231,213.5,505.5
"ENSG00000087502.17",481.5,688,603.21,813
"ENSG00000087586.17",93.0415,0.11,0.05,0.195
"ENSG00000087884.14",29.25,0.28,0.2,0.13
"ENSG00000087903.12",24.5485,10,0.136,45
"ENSG00000088035.15",877.5,258,12.195,178.05
"ENSG00000088179.8",93.76,115,19,113
"ENSG00000088205.12",1212.5,2685,682.5,418.5
"ENSG00000088247.17",16.15,61,2.87,1.75
"ENSG00000088298.12",66.6,49,0.067,21.8
"ENSG00000088325.15",235.75,1.2,396.8,79.2
"ENSG00000088356.5",77.85,13,0.016,203.85
"ENSG00000088387.18",28.0485,202,14.115,14.63
"ENSG00000088448.14",2132.5,133,1184.5,1413
"ENSG00000088451.10",1.5325,714,0.87,63.525
"ENSG00000088766.11",53.37,10,0.13,14.6
"ENSG00000088808.16",2.666,1.4,0.16,0.013
"ENSG00000088826.17",29.5,101,0.033,0.435
"ENSG00000088832.16",2159.5,2131,1274.5,2306.5
"ENSG00000088833.17",244.95,555,0.917,835.5
"ENSG00000088854.12",0.087,0.16,0.016,1.85
"ENSG00000088876.11",22.75,11,1.15,0.013
"ENSG00000088888.17",20,36,0.225,82.5
"ENSG00000088930.7",561.5,1773,756.5,586
"ENSG00000088970.15",131.08,107,5.5,42.725
"ENSG00000088986.10",980,1031,1902.5,823.5
"ENSG00000088992.17",25.0325,27,34.55,0.105
"ENSG00000089006.16",989,1327,783,1692
"ENSG00000089009.15",5304,5296,6333,3299.5
"ENSG00000089012.14",1462,1877,193.5,1015.5
"ENSG00000089022.13",24.66,86,0.0325,2.05
"ENSG00000089041.16",36.9,0.6,0.132,0.105
"ENSG00000089048.14",291.5,569,542.5,340.8
