,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GBA2,65.25172341,-9.515530975,3.12049727,-3.04936366,0.002293267,0.076050321
TIA1,271.867435,-4.242399747,1.392850695,-3.045839558,0.002320316,0.076156708
SYT11,158.8732592,6.125404745,2.011416522,3.045318897,0.002324337,0.076156708
HAUS1,557.7146196,-4.296620113,1.41131903,-3.044400325,0.002331447,0.076156708
DNAJC16,105.604607,9.008274516,2.96587889,3.037303562,0.002387049,0.077585041
GXYLT1,67.51063554,-8.158792018,2.692012916,-3.030740294,0.00243955,0.078689882
RGL2,85.36617102,-7.314274411,2.413912044,-3.030050093,0.002445132,0.078689882
ALDH18A1,220.8691446,5.531360718,1.830111326,3.022417619,0.002507643,0.080306047
RPARP-AS1,118.9247418,-7.926948095,2.625017101,-3.019770078,0.002529666,0.08061615
TRAT1,132.2838801,-6.653492427,2.204717093,-3.017844079,0.002545799,0.080736416
GPR89B,102.4131684,7.985225139,2.65005072,3.013234833,0.002584788,0.081576914
AIG1,53.3072538,9.337748864,3.111167572,3.001364808,0.002687724,0.084417779
UBR5-AS1,101.4545498,8.951175368,2.986992339,2.996718556,0.002729025,0.085304894
RTL8A,157.5384244,7.689425894,2.569873957,2.992141258,0.00277028,0.085586358
PGM1,73.9078019,-8.17000901,2.730582987,-2.992038348,0.002771214,0.085586358
PHYH,82.1357279,-7.258357565,2.426635007,-2.991120439,0.002779558,0.085586358
BLZF1,192.1129035,6.337657132,2.119855983,2.989664006,0.002792845,0.085586358
GPR171,82.08643605,-8.443016301,2.825171458,-2.988496956,0.002803533,0.085586358
ZSCAN18,52.55312434,-9.203422251,3.083880736,-2.984363871,0.002841686,0.086296452
MARCHF8,120.0892557,-6.780134475,2.273315614,-2.982487093,0.002859167,0.086296452
KIF3B,86.02215479,8.487559358,2.846539583,2.981711341,0.002866421,0.086296452
UBASH3A,56.53441863,-9.308620428,3.128073957,-2.975831312,0.002921955,0.087564837
DUSP5,261.2901929,-4.243571923,1.427872298,-2.971954795,0.002959102,0.088273135
TUG1,798.5976241,3.917813486,1.319416922,2.969352158,0.002984284,0.088619663
PIK3C2B,221.1496048,4.796741307,1.618291062,2.96407823,0.003035911,0.089744825
MRPS31,89.09604912,-6.774149153,2.286702572,-2.962409382,0.003052416,0.089826291
CD2,311.8928155,-4.299706093,1.454463368,-2.956214772,0.003114401,0.091239392
CLASP1,65.83383105,-8.003093383,2.714466855,-2.94831133,0.003195151,0.093187151
SH2D1B,79.53846877,-8.398487383,2.850834547,-2.945975028,0.003219384,0.093385188
ADRB1,75.25437054,9.834523437,3.340429589,2.944089428,0.003239064,0.093385188
TIPIN,74.24321271,9.815580171,3.334618155,2.943539475,0.003244824,0.093385188
JAGN1,62.76239121,-8.053854035,2.740170022,-2.939180405,0.003290815,0.094176593
ZC3H14,222.8867958,-5.462356573,1.859077533,-2.938208049,0.003301154,0.094176593
UBLCP1,63.04731944,-9.465957316,3.225003885,-2.935177027,0.003333574,0.094688008
TRUB2,94.81445828,8.854778913,3.024029896,2.928138682,0.003409979,0.096438933
ADTRP,72.97047193,9.790635102,3.348220041,2.924131324,0.00345419,0.0972682
WDR41,50.06085481,9.247099324,3.170662799,2.916456246,0.003540324,0.099265816
TIMELESS,162.179604,7.353951465,2.526826827,2.910350399,0.003610238,0.100402082
CPNE5,191.298514,5.077773253,1.744799125,2.910233723,0.003611586,0.100402082
TBC1D20,155.1583776,-5.800406409,1.994961383,-2.907528165,0.003642975,0.100845585
C7orf31,96.83092302,-8.758183964,3.01884653,-2.901168999,0.003717733,0.10234059
PLA2G12A,54.52973611,-9.256522143,3.192213215,-2.899719261,0.00373497,0.10234059
ARSB,371.8242983,4.21484773,1.453915087,2.898964161,0.003743977,0.10234059
MRPL40,145.1646237,5.204555377,1.799398433,2.892386301,0.003823275,0.104072742
TPMT,64.75233424,8.219243031,2.844810808,2.8892055,0.003862166,0.104261475
TBC1D32,51.06042965,-9.16171545,3.171020866,-2.889200619,0.003862226,0.104261475
NUDT21,467.0182849,-4.759787553,1.648176238,-2.887911768,0.003878086,0.104261475
ZNF518A,230.5652513,4.866473641,1.690070281,2.879450455,0.003983689,0.106661636
AKT3,241.4476345,-5.05959969,1.760511093,-2.873937977,0.004053886,0.107851196
ERCC4,47.82548269,-9.067574364,3.15631558,-2.872835157,0.004068063,0.107851196
DMAC1,171.257823,5.177244707,1.802604121,2.872091907,0.004077644,0.107851196
NCOA7,330.668202,4.768793816,1.663814952,2.866180406,0.004154574,0.10918442
JMY,259.8819508,-4.130903036,1.441521439,-2.865654943,0.004161476,0.10918442
ARMCX6,69.99763142,9.730041829,3.397780901,2.863646042,0.004187957,0.109439694
IGLV2-23,316.6988747,-3.924767525,1.375399877,-2.853546515,0.00432342,0.112529488
ANAPC4,47.68100199,-9.063582871,3.178713407,-2.851336912,0.004353581,0.112864868
ZBTB25,307.4904562,-4.129821009,1.451281988,-2.845636507,0.004432276,0.11445082
EFR3A,592.9646435,-4.913129935,1.729948175,-2.840044578,0.004510723,0.11576557
ARHGAP26,87.25947064,7.435944672,2.618764587,2.839485729,0.004518632,0.11576557
TSPYL2,354.3550863,-3.667280681,1.2933359,-2.835520672,0.004575105,0.116754546
ATXN3,331.5278616,-4.207771403,1.486163201,-2.83129834,0.004635946,0.117846822
USB1,93.82569714,-6.420552973,2.268820302,-2.82990811,0.004656137,0.117901342
MPP1,89.55854026,-8.646719751,3.063437959,-2.822554224,0.004764276,0.119604991
NDRG3,66.60676798,9.658997546,3.422911346,2.821866116,0.004774511,0.119604991
RELB,58.73219821,-7.834266201,2.778926591,-2.8191699,0.004814803,0.119604991
BCKDHA,67.23092662,9.671854177,3.430971275,2.818984305,0.004817587,0.119604991
SLC29A1,46.09366273,-9.014318281,3.198387104,-2.818395019,0.004826439,0.119604991
BTNL9,56.8138485,-9.315744626,3.305868951,-2.817941293,0.004833265,0.119604991
IL18RAP,56.55412055,-9.309133244,3.309571264,-2.812791295,0.004911352,0.120794465
SLC41A2,231.0164742,-5.43399429,1.932552195,-2.811822782,0.004926164,0.120794465
C12orf49,73.29717019,-6.294335761,2.239077648,-2.811128845,0.004936801,0.120794465
ETS2,53.73178363,9.349211739,3.32982539,2.807718316,0.004989385,0.121625563
PPP4R3B,521.0149796,3.666581532,1.306830088,2.805706393,0.005020642,0.121932535
TLR10,264.1313987,3.989257137,1.427238557,2.795087842,0.005188561,0.125543971
HRK,82.64095716,8.659179849,3.105408955,2.788418522,0.005296607,0.127685361
SLC25A30,67.52926851,-9.56509275,3.432743773,-2.786427821,0.005329249,0.127999928
SKA2,310.7439854,4.193383104,1.507943961,2.780861366,0.005421488,0.129738401
KIF3A,220.8893299,-4.143367392,1.492099096,-2.776871458,0.005488488,0.13086238
SLC37A3,53.95657906,-9.242101528,3.330100195,-2.775322359,0.005514702,0.131009259
GALC,201.4845913,-5.528529813,1.993889388,-2.772736465,0.005558712,0.131444423
ZNF720,137.7479738,-5.625051414,2.029322976,-2.771885737,0.00557326,0.131444423
RNF24,186.5890215,5.283310757,1.907212792,2.770173721,0.00560264,0.131662044
TXNDC16,85.19641996,6.412660395,2.321899405,2.761816632,0.005748075,0.13398341
COL9A3,160.8616587,4.549571967,1.647410091,2.761651147,0.005750989,0.13398341
APMAP,103.5051665,-5.577061307,2.020358686,-2.760431278,0.00577251,0.13398341
NME4,44.29526896,-8.956858884,3.245459345,-2.759812381,0.005783457,0.13398341
SRP68,60.57307633,7.223565771,2.631234053,2.745314793,0.006045288,0.139332982
GTF3C3,257.1117863,5.245671298,1.911215514,2.744678065,0.006057028,0.139332982
ANKH,236.0648988,-5.317073048,1.939396016,-2.741612854,0.006113835,0.14014627
TMEM181,125.8276735,7.305904789,2.670688188,2.735588835,0.006226878,0.141869601
STT3B,366.9994327,-3.64867537,1.333924093,-2.735294601,0.006232447,0.141869601
MSI2,619.4081593,3.972469357,1.452986917,2.73400215,0.006256964,0.141933136
ERI1,256.4123916,4.257988299,1.561095013,2.727565115,0.006380366,0.144231603
TBXAS1,43.10917412,-8.917573445,3.30010473,-2.702209225,0.00688804,0.155170922
C18orf21,48.36940629,-9.083553844,3.364946534,-2.699464539,0.006945116,0.155484107
CNBD2,42.04622774,8.99535071,3.332533966,2.699252521,0.006949542,0.155484107
OXSR1,162.4339599,-4.930721317,1.82770368,-2.697768446,0.006980598,0.155645887
AXL,44.58091211,9.079034149,3.368262078,2.695465477,0.007029036,0.156192833
USP25,70.28477003,6.86553386,2.549057236,2.693361987,0.007073542,0.156540199
TNIP1,466.9941224,-3.664098607,1.360922237,-2.692364419,0.007094738,0.156540199
NRROS,50.09349625,-9.134933707,3.394194769,-2.691340459,0.007116553,0.156540199
GPD2,45.40435767,-8.993172929,3.357414681,-2.678600585,0.007393052,0.162076547
PAAF1,74.61751324,8.426855717,3.162319637,2.664770385,0.007704091,0.167636911
DOK3,71.11817133,-6.168837293,2.315029425,-2.664690663,0.007705917,0.167636911
PLD4,100.2910716,5.802707712,2.179362078,2.662571662,0.007754606,0.167636911
TMEM126B,169.0203006,4.508387463,1.693399163,2.662330042,0.007760175,0.167636911
PSTPIP1,40.05380421,8.925132689,3.353184892,2.661688209,0.007774986,0.167636911
IGKV3D-20,182.9564533,5.549127833,2.087023161,2.658872185,0.00784027,0.168488435
HAUS3,50.18200362,-7.731879824,2.918033832,-2.649688205,0.008056609,0.172498355
CPOX,41.34065264,-8.857777478,3.344170076,-2.648722187,0.008079672,0.172498355
ZSCAN25,59.47770188,-9.381906981,3.543766296,-2.647439531,0.008110386,0.172590077
FAHD1,51.53295657,-7.639619091,2.888203588,-2.645111003,0.008166412,0.173179627
HTD2,396.711436,3.670163945,1.388063605,2.64408917,0.008191107,0.173179627
LINC00954,100.5486039,-7.537419263,2.852748828,-2.642160147,0.008237909,0.173187574
RNF125,60.07988445,-6.293932815,2.382769525,-2.641435837,0.008255544,0.173187574
MCM3,162.0537679,-4.857967503,1.839580596,-2.640801666,0.008271012,0.173187574
TMEM39A,91.32602638,-6.377342713,2.416121072,-2.639496334,0.008302932,0.173300497
NUP62,354.4406263,3.798612655,1.441147045,2.635825865,0.008393279,0.174628322
PLAAT4,232.0504933,-3.985289465,1.51338551,-2.633360396,0.008454458,0.175342783
MED31,453.7230204,3.94754401,1.499720566,2.632186356,0.008483731,0.175393093
LAMTOR1,307.8881623,3.939976197,1.497873337,2.630380086,0.008528945,0.175771607
NIPSNAP1,71.04239142,8.356649013,3.180132971,2.627767168,0.008594732,0.176016879
TCFL5,71.04239142,8.356649013,3.180132971,2.627767168,0.008594732,0.176016879
