"","stage1","stage2","stage3","stage4"
"APOBEC3G",42,380,704,273
"APOBR",1,0,0,0
"APOC1",19,0,1,3
"APOC2",8,0,1,0
"APOC3",8,0,0,0
"APOC4-APOC2",1,0,0,0
"APOE",2,0,0,0
"APOH",9,0,0,0
"APOL1",0,0,0,15
"APOL2",272,41,433,112
"APOL3",57,0,0,0
"APOL4",0,0,0,0
"APOL6",1,55,322,341
"APOLD1",94,157,35,5
"APOO",1,0,0,112
"APOOL",9,0,16,56
"APPBP2",147,0,73,292
"APPL1",102,33,218,461
"APPL2",173,0,0,1
"APRT",577,688,166,252
"APTX",64,0,20,132
"AQP3",4,0,0,0
"AQP4-AS1",0,0,0,0
"AQR",293,56,0,265
"ARAF",68,0,23,48
"ARAP1-AS1",0,0,77,1
"ARAP2",118,0,887,456
"ARCN1",118,1014,144,186
"AREG",288,0,17,479
"AREL1",211,0,5,127
"ARF1",1752,2301,727,1700
"ARF3",10,71,0,118
"ARF4",1204,2604,1570,457
"ARF4P1",0,0,0,0
"ARF5",371,44,1,186
"ARF6",4554,4653,2821,4634
"ARFGAP1",10,12,0,7
"ARFGAP2",552,149,0,103
"ARFGAP3",195,160,76,473
"ARFGEF1",55,91,201,135
"ARFGEF2",123,622,0,147
"ARFIP1",0,24,33,230
"ARFIP2",269,0,70,263
"ARFRP1",15,62,0,155
"ARG2",5,37,1,0
"ARGLU1",1783,2883,2438,2071
"ARHGAP1",158,1811,8,386
"ARHGAP10",0,0,0,0
"ARHGAP11A",0,0,0,0
"ARHGAP12",23,249,1,171
"ARHGAP15",138,1624,460,839
"ARHGAP17",23,11,5,22
"ARHGAP18",120,0,13,79
"ARHGAP19",112,0,0,101
"ARHGAP19-SLIT1",60,1,0,0
"ARHGAP21",0,0,66,7
"ARHGAP24",112,299,56,480
"ARHGAP25",682,1113,860,588
"ARHGAP26",3,405,2,0
"ARHGAP27",1,0,2,58
"ARHGAP27P1-BPTFP1-KPNA2P3",0,0,0,0
"ARHGAP30",235,12,185,293
"ARHGAP4",95,3,52,54
"ARHGAP5",144,460,510,737
"ARHGAP9",283,241,479,266
"ARHGDIA",36,18,351,261
"ARHGDIB",13887,21510,6263,10817
"ARHGEF1",230,1,23,203
"ARHGEF12",2,0,0,141
"ARHGEF18",38,14,50,141
"ARHGEF3",100,566,7,76
"ARHGEF35",18,0,0,0
"ARHGEF40",0,0,0,39
"ARHGEF5",5,0,0,0
"ARHGEF6",78,65,1,97
"ARHGEF7",853,279,164,821
"ARHGEF9",0,0,51,0
"ARID1A",527,375,291,61
"ARID1B",750,3206,708,1616
"ARID2",540,94,975,1110
"ARID3A",11,4,2,35
"ARID3B",0,95,0,13
"ARID4A",912,586,794,719
"ARID4B",879,2901,1532,2496
"ARID5A",104,41,230,135
"ARID5B",3678,6018,4124,5574
"ARIH1",702,369,464,526
"ARIH2",645,201,439,1488
"ARIH2OS",62,1,0,1
"ARL1",12,5,856,580
"ARL10",62,0,0,36
"ARL13B",26,0,3,98
"ARL14EP",273,250,491,216
"ARL16",90,0,1016,105
"ARL17A",2,4,1,29
"ARL17B",1,106,148,138
"ARL2",112,35,470,183
"ARL2BP",1,137,18,389
"ARL3",43,55,3,79
"ARL4A",1291,191,331,614
"ARL4C",108,149,919,229
"ARL4D",0,0,0,275
"ARL5A",3,12,51,23
"ARL5B",13,0,1,93
"ARL6IP1",2252,1703,1801,815
"ARL6IP1P2",0,0,0,0
"ARL6IP4",295,1036,592,732
"ARL6IP5",1834,1398,2605,2863
"ARL6IP6",49,190,263,354
"ARL8B",27,218,177,529
"ARMC1",34,86,64,103
"ARMC10",1,0,1,0
"ARMC2",2,9,0,0
"ARMC7",0,0,0,26
"ARMC8",348,1939,9,554
"ARMCX3",745,2,186,253
"ARMCX5-GPRASP2",0,0,0,25
"ARMCX6",253,0,0,0
"ARMCX7P",109,0,147,5
"ARMH3",33,0,3,219
"ARMT1",51,100,0,1
"ARNT",161,5,22,164
"ARNTL",18,1,287,148
"ARPC1A",34,492,218,110
"ARPC1B",1210,1638,451,398
"ARPC2",10861,11403,4461,11267
"ARPC3",4564,4779,2619,4431
"ARPC3P1",16,1,1,1
"ARPC3P5",1,1,0,1
"ARPC4",2330,3571,326,2337
"ARPC5",810,1085,659,2575
"ARPC5L",543,458,258,823
"ARPP19",567,2493,1747,869
"ARRB2",23,0,2,7
