"","stage1","stage2","stage3","stage4"
"STAG2",866.9587357,467.5510204,1805.28509,1584.462366
"STAT3",575.1749518,446.6734694,1113.108072,1475.528674
"SUN2",17.19887066,37.73857143,195.4852308,86.31640381
"SYNE1",420.1474421,359.3265306,30.11244065,45.87037037
"TERF1",213.1840541,102.9795918,0.265147199,384.1251105
"TIFA",259.8875917,386.4693878,0.866666667,74.13043905
"TPR",722.3210715,682.7226531,3036.008044,1679.502996
"TRA2B",1060.236004,1307.673469,774.0423551,866.4958184
"TRAF3",132.1539575,60.2244898,1097.465147,267.8942653
"TSC2",12.5945946,7.918367347,0.04691358,0.073178017
"TXNL4A",83.40492278,45.12244898,344.9870845,197.3390084
"UBE2I",987.0023241,1718.693265,1850.184093,131.6137993
"UBXN7",30.07395994,66.3744898,258.145679,348.2929779
"UQCRFS1P1",33.29663852,78.18795918,8.252,16.17887097
"UQCRHL",34.20779441,74.00265306,13.45919468,37.47898447
"UQCRQ",865.1242762,1715.55102,865.0499526,1250.138928
"USP4",32.33566602,28.36734694,191.02849,549.0549582
"VCP",186.4343629,82.55102041,831.3006647,692.3838112
"VMP1",1486.084942,878.1428571,48.03076924,988.8243727
"VPS39",6.522442084,15.30612245,0.034567901,97.41517325
"ZCCHC8",125.4821429,237.3265306,22.06704653,221.3324373
"ZMIZ1",100.9261583,245.9591837,15.01006648,230.7087814
