"","ensembl_gene_id","chromosome_name","hgnc_symbol","hgnc_id"
"295","ENSG00000068885","3","IFT80","HGNC:29262"
"296","ENSG00000068912","2","ERLEC1","HGNC:25222"
"297","ENSG00000069248","1","NUP133","HGNC:18016"
"298","ENSG00000069329","16","VPS35","HGNC:13487"
"299","ENSG00000069399","19","BCL3","HGNC:998"
"300","ENSG00000069509","X","FUNDC1","HGNC:28746"
"301","ENSG00000069667","15","RORA","HGNC:10258"
"302","ENSG00000069943","15","PIGB","HGNC:8959"
"303","ENSG00000069956","15","MAPK6","HGNC:6879"
"304","ENSG00000069966","15","GNB5","HGNC:4401"
"305","ENSG00000069974","15","RAB27A","HGNC:9766"
"306","ENSG00000069998","22","HDHD5","HGNC:1843"
"307","ENSG00000070010","22","UFD1","HGNC:12520"
"308","ENSG00000070214","9","SLC44A1","HGNC:18798"
"309","ENSG00000070366","17","SMG6","HGNC:17809"
"310","ENSG00000070367","14","EXOC5","HGNC:10696"
"311","ENSG00000070423","19","RNF126","HGNC:21151"
"312","ENSG00000070444","17","MNT","HGNC:7188"
"313","ENSG00000070476","3","ZXDC","HGNC:28160"
"314","ENSG00000070495","17","JMJD6","HGNC:19355"
"315","ENSG00000070501","8","POLB","HGNC:9174"
"316","ENSG00000070610","9","GBA2","HGNC:18986"
"317","ENSG00000070669","7","ASNS","HGNC:753"
"318","ENSG00000070718","8","AP3M2","HGNC:570"
"319","ENSG00000070759","1","TESK2","HGNC:11732"
"320","ENSG00000070785","1","EIF2B3","HGNC:3259"
"321","ENSG00000070814","5","TCOF1","HGNC:11654"
"322","ENSG00000071189","7","SNX13","HGNC:21335"
"323","ENSG00000071537","14","SEL1L","HGNC:10717"
"324","ENSG00000071575","2","TRIB2","HGNC:30809"
"325","ENSG00000071626","19","DAZAP1","HGNC:2683"
"326","ENSG00000071655","19","MBD3","HGNC:6918"
"327","ENSG00000071794","3","HLTF","HGNC:11099"
"328","ENSG00000071859","X","FAM50A","HGNC:18786"
"329","ENSG00000072042","14","RDH11","HGNC:17964"
"330","ENSG00000072135","2","PTPN18","HGNC:9649"
