Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000006534.15,0,0.041666667,0,0,0.153846154,0,0,0
ENSG00000006555.10,0,0.104166667,0,0,0,0.172413793,0,0.012987013
ENSG00000006576.16,0,113.2708333,139.0769231,0.3125,0.153846154,259.9310345,45.58333333,282.2467532
ENSG00000006606.8,0,0,0,0,0,0,0,0
ENSG00000006607.13,0,371.4583333,0,0,4.230769231,250.9310345,0,57.55844156
ENSG00000006611.15,0,0,0,0,0,0,0,0
ENSG00000006625.17,0,0.395833333,610.9230769,0.125,0.461538462,0.448275862,28.25,0.194805195
ENSG00000006634.7,2,306.1610417,1347.846154,0.1875,0.384615385,407.857931,6.5,379.7758442
ENSG00000006638.11,0,0.104166667,0.153846154,0,0,0,0,0.246753247
ENSG00000006652.13,5182,273,0,1.6875,0.538461538,1256.965517,90.41666667,522.6103896
ENSG00000006659.12,0,0,0,0,0,0,0,0
ENSG00000006695.10,4756,0.583333333,0,0,0,174.2758621,8.166666667,8.727272727
ENSG00000006704.10,0,0.041666667,0,0,0.230769231,0,0,0
ENSG00000006712.14,0,641.1875,2.692307692,0.75,264.4615385,10.55172414,977.1666667,449.6363636
ENSG00000006715.15,0,344.3125,0.153846154,0.1875,1.846153846,97.72413793,0.083333333,32.18181818
ENSG00000006740.16,0,0.104166667,0,0,0,0,0,0
ENSG00000006744.18,0,118.125,0,0.3125,0.076923077,275.2068966,0.666666667,120.9090909
ENSG00000006747.14,0,0,11.23076923,0,0,0.034482759,0,0
ENSG00000006756.15,0,93.58333333,0,4.665625,0.461538462,0.137931034,0,26.75324675
ENSG00000006757.11,0,0.020833333,0,0,0.307692308,0.034482759,0.083333333,0
ENSG00000006788.13,0,0,0,0,0,0,0,0
ENSG00000006831.9,3,16.47916667,0.076923077,604.625,0.153846154,115.4482759,233.5,262.012987
ENSG00000006837.11,0,0,0,0,0,0,0,0
ENSG00000007001.12,0,0,0,0,0,0,0,0
ENSG00000007038.10,0,0,0,0,0,0,0,34.27272727
ENSG00000007047.14,0,0,0,0,0,0.034482759,0,0.012987013
ENSG00000007062.11,0,0,0,0,0,0,0,0
ENSG00000007080.10,0,268.3541667,517.3076923,0,2050.230769,0.344827586,1.25,80.63636364
ENSG00000007129.17,0,0.208333333,0,0,0,0,0,0.012987013
ENSG00000007168.12,0,759.54375,812.6923077,1131.1875,1178,74.03758621,296.0833333,300.178961
ENSG00000007171.16,0,0,0,0,0,0,0,0
ENSG00000007174.17,0,0.041666667,0,0,0,0,0,0
ENSG00000007202.14,0,1.979166667,855.7692308,9.1875,0,24.80413793,0.083333333,19.27272727
ENSG00000007216.14,0,0,0,0,0,0,0,0
