node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CHD7,11.0,0.25931,5.0,8.0,8.577,1.0,0.19924,186.4,5.95838,544.27904,5806.0,0.14286,
AUTS2,2.0,0.0,1.0,2.0,4.311,1.0,0.16604,171.88333,5.75004,34.60033,528.0,0.0,
SLC12A2,4.0,0.30779,2.0,4.0,6.932,1.0,0.19924,180.4,5.88262,65.24304,712.0,0.16667,
DNAJB14,5.0,0.30898,3.0,4.0,8.024,1.0,0.16604,179.03333,5.87504,64.6911,720.0,0.33333,
EVI2A,2.0,0.0,1.0,2.0,1.113,1.0,0.14232,126.11905,4.65344,6.52693,36.0,0.0,
ISCA1,4.0,0.30779,2.0,4.0,6.931,1.0,0.16604,182.38333,5.91103,86.60408,1014.0,0.16667,
BOLA2B,4.0,0.0,1.0,4.0,5.153,1.0,0.16604,169.2,5.70648,33.32028,282.0,0.0,
CHORDC1,25.0,0.56839,4.0,5.0,11.544,1.0,0.19924,188.11667,6.01709,51.41693,504.0,0.6,
CMPK1,18.0,0.26242,8.0,8.0,14.905,1.0,0.19924,192.73333,6.07012,346.28924,3250.0,0.32143,
PLIN2,2.0,0.0,1.0,2.0,2.818,1.0,0.16604,159.26667,5.51709,10.41167,60.0,0.0,
ZFAND5,2.0,0.0,1.0,2.0,1.771,1.0,0.16604,154.56667,5.40345,14.18684,182.0,0.0,
USP16,7.0,0.30779,2.0,7.0,6.51,1.0,0.19924,184.03333,5.93375,631.09102,4450.0,0.04762,
CBWD1,1.0,0.0,1.0,1.0,1.156,1.0,0.12453,107.85595,3.9773,0.0,0.0,0.0,
CBWD2,2.0,0.0,1.0,2.0,1.769,2.0,0.14232,136.55952,4.97163,1050.0,14142.0,0.0,
ATRAID,2.0,0.0,1.0,2.0,1.818,2.0,0.14232,135.47619,4.92238,1050.0,11160.0,0.0,
PRRC2C,1.0,0.0,1.0,1.0,1.072,1.0,0.12453,107.09881,3.92806,0.0,0.0,0.0,
KIAA0247,1.0,0.0,1.0,1.0,1.041,1.0,0.00378,1.0,0.01134,0.0,0.0,0.0,
DHRS7,1.0,0.0,1.0,1.0,1.041,1.0,0.00378,1.0,0.01134,0.0,0.0,0.0,
PPT1,6.0,0.30779,2.0,6.0,6.772,1.0,0.16604,185.03333,5.96216,240.64202,1988.0,0.06667,
ZDHHC2,2.0,0.0,1.0,2.0,5.419,1.0,0.16604,165.7,5.62504,18.14703,176.0,0.0,
CDC42SE1,1.0,0.0,1.0,1.0,3.596,1.0,0.16604,157.31667,5.48299,0.0,0.0,0.0,
SS18L2,7.0,0.46346,3.0,4.0,5.862,1.0,0.16604,178.91667,5.88262,69.43221,622.0,0.5,
CD97,2.0,0.0,1.0,2.0,1.527,1.0,0.14232,142.47619,5.13829,22.34149,106.0,0.0,
ARL4C,1.0,0.0,1.0,1.0,1.698,1.0,0.14232,134.90238,4.93943,0.0,0.0,0.0,
EML4,5.0,0.30898,3.0,4.0,7.69,1.0,0.16604,186.81667,6.00004,44.94393,614.0,0.33333,
NFKBIZ,2.0,0.0,1.0,2.0,5.124,1.0,0.19924,178.75,5.87694,9.33674,142.0,0.0,
CAMTA1,1.0,0.0,1.0,1.0,1.392,1.0,0.16604,137.95,5.01898,0.0,0.0,0.0,
IFRD1,2.0,0.0,1.0,2.0,5.751,1.0,0.16604,157.43333,5.43754,2.52126,18.0,0.0,
SYAP1,5.0,0.30898,3.0,4.0,6.981,1.0,0.16604,175.41667,5.81254,195.75782,1550.0,0.33333,
ANKHD1,3.0,0.30779,2.0,3.0,5.364,1.0,0.16604,164.96667,5.61368,28.65427,220.0,0.33333,
MESDC2,3.0,0.30779,2.0,3.0,5.94,1.0,0.16604,165.75,5.64777,46.18014,350.0,0.33333,
DAZAP2,2.0,0.0,1.0,2.0,3.592,2.0,0.16604,149.9,5.29549,247.10022,2956.0,0.0,
SMAP2,2.0,0.0,1.0,2.0,1.416,1.0,0.14232,131.06905,4.78034,14.50037,86.0,0.0,
SYTL3,3.0,0.0,1.0,3.0,1.819,1.0,0.16604,146.83333,5.23678,111.58604,486.0,0.0,
TMEM154,2.0,0.0,1.0,2.0,3.415,1.0,0.16604,149.73333,5.2936,54.44733,732.0,0.0,
RSBN1,1.0,0.0,1.0,1.0,1.183,1.0,0.14232,134.58571,4.92238,0.0,0.0,0.0,
CCDC12,2.0,0.0,1.0,2.0,6.172,1.0,0.16604,161.93333,5.53792,37.39199,280.0,0.0,
PCMT1,18.0,0.33284,6.0,8.0,18.147,1.0,0.19924,202.25,6.20459,76.61803,1342.0,0.28571,
MARCKS,3.0,0.0,1.0,3.0,1.611,3.0,0.14232,137.97619,5.00572,1187.39947,7530.0,0.0,
ADD3,2.0,0.0,1.0,2.0,1.442,3.0,0.14232,137.44286,4.98299,299.58701,1690.0,0.0,
JSRP1,2.0,0.0,1.0,2.0,1.885,1.0,0.16604,147.8,5.27087,22.6636,94.0,0.0,
TCL1A,4.0,0.0,1.0,4.0,6.089,1.0,0.16604,182.35,5.9205,80.58882,1148.0,0.0,
CCDC47,4.0,0.30779,2.0,4.0,6.468,1.0,0.16604,175.35,5.80307,205.22739,1424.0,0.16667,
CD96,3.0,0.30779,2.0,3.0,2.754,1.0,0.16604,158.65,5.48489,25.42773,310.0,0.33333,
ORAI2,1.0,0.0,1.0,1.0,2.281,1.0,0.16604,147.18333,5.26708,0.0,0.0,0.0,
MPHOSPH8,10.0,0.46346,3.0,7.0,6.445,3.0,0.16604,167.83333,5.60421,1374.06949,15352.0,0.14286,
BOD1L1,3.0,0.30779,2.0,3.0,4.564,1.0,0.16604,159.78333,5.49057,12.3545,102.0,0.33333,
RC3H1,3.0,0.0,1.0,3.0,2.466,1.0,0.16604,151.73333,5.3239,106.38146,514.0,0.0,
CDC123,3.0,0.0,1.0,3.0,6.643,1.0,0.16604,174.2,5.79928,32.02605,300.0,0.0,
MOB1A,3.0,0.0,1.0,3.0,2.771,1.0,0.16604,153.48333,5.3864,69.51899,294.0,0.0,
GLTP,2.0,0.0,1.0,2.0,3.768,1.0,0.16604,166.06667,5.66103,9.67311,114.0,0.0,
ECH1,1.0,0.0,1.0,1.0,1.21,1.0,0.14232,125.37857,4.60988,0.0,0.0,0.0,
ELOVL5,2.0,0.0,1.0,2.0,2.417,1.0,0.16604,151.93333,5.38072,41.5573,450.0,0.0,
LSP1,2.0,0.0,1.0,2.0,2.567,1.0,0.16604,156.81667,5.46974,5.52052,46.0,0.0,
HP1BP3,11.0,0.2842,4.0,8.0,14.415,1.0,0.16604,200.88333,6.1705,548.18722,6106.0,0.17857,
TSPYL2,8.0,0.37893,4.0,4.0,6.748,1.0,0.16604,171.1,5.6989,12.04262,252.0,0.66667,
GSTO1,5.0,0.30898,3.0,4.0,7.496,1.0,0.16604,170.96667,5.71216,75.20709,656.0,0.33333,
HIGD2A,2.0,0.0,1.0,2.0,3.025,1.0,0.16604,140.1,5.02087,9.76275,60.0,0.0,
POGZ,2.0,0.0,1.0,2.0,2.754,1.0,0.14232,141.37619,5.07011,4.95238,18.0,0.0,
AMD1,2.0,0.0,1.0,2.0,5.849,1.0,0.16604,169.33333,5.65534,18.61416,164.0,0.0,
BZW1,8.0,0.37893,4.0,4.0,11.231,1.0,0.16604,187.96667,6.0133,7.5669,194.0,0.66667,
FNIP1,3.0,0.0,1.0,3.0,2.801,1.0,0.16604,151.38333,5.31064,45.60927,324.0,0.0,
HMGN3,1.0,0.0,1.0,1.0,1.952,1.0,0.14232,133.18571,4.88829,0.0,0.0,0.0,
IL32,2.0,0.30779,2.0,2.0,2.11,1.0,0.16604,149.1,5.28034,0.0,0.0,1.0,
GGNBP2,1.0,0.0,1.0,1.0,1.059,1.0,0.14232,126.25238,4.69132,0.0,0.0,0.0,
CCNI,3.0,0.0,1.0,3.0,3.926,2.0,0.16604,167.93333,5.68565,1072.53694,6756.0,0.0,
TOR1AIP2,2.0,0.30779,2.0,2.0,2.915,1.0,0.16604,151.71667,5.3561,0.0,0.0,1.0,
PHACTR2,1.0,0.0,1.0,1.0,2.339,1.0,0.16604,142.85,5.13072,0.0,0.0,0.0,
ZBTB20,1.0,0.0,1.0,1.0,1.461,1.0,0.16604,135.6,4.97352,0.0,0.0,0.0,
LITAF,1.0,0.0,1.0,1.0,1.1,1.0,0.14232,124.15238,4.59094,0.0,0.0,0.0,
TSTD1,2.0,0.30779,2.0,2.0,5.908,1.0,0.16604,168.16667,5.68754,0.0,0.0,1.0,
MYADM,1.0,0.0,1.0,1.0,1.555,1.0,0.14232,131.70238,4.83716,0.0,0.0,0.0,
ITM2B,1.0,0.0,1.0,1.0,1.791,1.0,0.14232,126.45952,4.67996,0.0,0.0,0.0,
HIPK1,1.0,0.0,1.0,1.0,1.363,1.0,0.14232,139.22619,5.03791,0.0,0.0,0.0,
LIMD2,1.0,0.0,1.0,1.0,1.667,1.0,0.14232,139.42619,5.02276,0.0,0.0,0.0,
C19orf10,2.0,0.0,1.0,2.0,3.718,1.0,0.16604,157.35,5.46595,6.86613,68.0,0.0,
IRF2BP2,1.0,0.0,1.0,1.0,2.213,1.0,0.16604,138.53333,5.00572,0.0,0.0,0.0,
EMC4,4.0,0.0,1.0,4.0,4.812,1.0,0.16604,170.55,5.70269,375.44049,2900.0,0.0,
SLC16A1,1.0,0.0,1.0,1.0,1.053,1.0,0.12453,108.64643,4.01139,0.0,0.0,0.0,
CRIM1,2.0,0.0,1.0,2.0,1.755,1.0,0.14232,138.97619,5.04928,34.24554,172.0,0.0,
ABRACL,2.0,0.0,1.0,2.0,1.352,1.0,0.16604,142.11667,5.11935,6.54494,50.0,0.0,
IDI1,2.0,0.0,1.0,2.0,3.0,1.0,0.16604,159.46667,5.53602,207.68594,1504.0,0.0,
SAMSN1,3.0,0.30779,2.0,3.0,2.431,2.0,0.16604,155.16667,5.41102,513.32075,3338.0,0.33333,
ATF7IP,1.0,0.0,1.0,1.0,3.527,1.0,0.16604,166.16667,5.6383,0.0,0.0,0.0,
GLS,1.0,0.0,1.0,1.0,1.912,1.0,0.16604,148.58333,5.29739,0.0,0.0,0.0,
LBH,1.0,0.0,1.0,1.0,1.441,1.0,0.14232,125.22857,4.62503,0.0,0.0,0.0,
