node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
USP9X,18,0.23775,6,13,14.679,1,0.19924,201.53333,6.16482,867.28416,6914,0.08974
IGLL5,32,0.2927,7,13,8.569,2,0.19924,190.38333,5.99436,982.6181,7538,0.16667
CBLB,363604,0.81806,10,13,11.952,1,0.16604,190.6,6.00194,540.17849,3982,0.55128
CD48,318,0.39597,13,13,9.037,2,0.19924,182.1,5.85231,197.1035,2020,0.39744
EXOSC8,213,0.39514,12,13,26.351,3,0.19924,194.33333,6.0436,562.122,7030,0.34615
MYH9,39,0.29929,10,13,20.298,1,0.19924,206.28333,6.23111,718.98991,8458,0.19231
DNTTIP2,443522,0.8484,11,13,28.387,1,0.19924,190.68333,5.97921,62.04307,878,0.64103
RB1CC1,994,0.49207,11,13,8.593,1,0.16604,186.7,5.92997,410.92313,3566,0.37179
TMEM258,30,0.38896,5,13,18.122,1,0.19924,203.11667,6.17618,1297.01659,9660,0.14103
TOP2B,172,0.39597,13,13,20.223,1,0.16604,195.46667,6.04171,140.24343,1984,0.39744
WASF2,211,0.40978,12,13,11.111,1,0.19924,192.58333,6.02466,1149.31588,8706,0.35897
AP1G1,80,0.4296,9,13,13.052,1,0.19924,201.13333,6.16482,1592.07338,11364,0.24359
THBS1,52,0.358,9,13,17.842,2,0.19924,208,6.25383,1311.29471,12402,0.19231
DERL2,88,0.28101,13,13,16.004,1,0.19924,197.11667,6.10232,592.21419,7256,0.28205
KMT2C,150,0.39027,11,13,13.669,3,0.16604,194.05,6.03224,2171.97483,20112,0.29487
MRPS18C,1706,0.4726,13,13,25.71,1,0.16604,193.75,6.03224,422.1246,9998,0.47436
NCOA3,118,0.3321,13,13,20.211,1,0.16604,206.65,6.21595,378.03629,5198,0.33333
RAB8A,230,0.35765,13,13,11.603,2,0.19924,190.25,5.99057,574.06914,5522,0.35897
BRD4,180,0.39905,10,12,12.727,4,0.19924,199.65,6.1402,924.40701,10038,0.30303
DOCK8,70,0.33919,10,12,10.737,5,0.16604,193.7,6.05307,980.02607,7602,0.25758
LSM14A,91,0.32239,11,12,24.845,2,0.19924,194.23333,6.06254,157.41864,2492,0.28788
RHOF,229,0.44117,11,12,8.611,3,0.19924,182.76667,5.87315,1230.23376,13542,0.39394
CORO1A,32,0.34989,8,12,9.52,2,0.16604,196.25,6.10421,1164.08958,8510,0.18182
POLE3,43,0.31026,9,12,15.432,2,0.19924,199.61667,6.11557,578.61496,6312,0.21212
CYLD,22,0.19953,10,12,14.057,2,0.19924,203.45,6.19512,1630.13709,11256,0.15152
MAF,86,0.3366,12,12,15.881,3,0.16604,201.7,6.16482,542.00956,6580,0.34848
SREK1,422,0.42441,12,12,21.3,1,0.16604,189.63333,5.97353,73.78334,1012,0.43939
GNG5,852,0.42441,12,12,21.423,2,0.19924,197.38333,6.1061,695.08584,16566,0.43939
M6PR,211,0.45814,11,12,9.402,1,0.19924,189.83333,5.97921,426.14541,3436,0.40909
CD63,83,0.32239,11,12,19.446,2,0.16604,204.01667,6.19512,801.27819,7596,0.28788
GZMA,284,0.35124,12,12,12.444,2,0.19924,194.93333,6.08527,985.56078,11022,0.36364
DTX3L,362888,0.7582,10,12,11.037,1,0.19924,190,5.99815,493.3383,4072,0.57576
CHMP2B,74,0.3791,10,12,14.093,1,0.19924,192.6,6.03982,687.98791,6374,0.28788
CD47,16,0.30898,3,12,10.044,2,0.16604,193.26667,6.05876,2021.3232,15792,0.09091
PGAM1,1746,0.52686,12,12,22.363,1,0.16604,197.6,6.10421,111.2525,2056,0.54545
USP10,17,0.32413,5,12,18.187,1,0.19924,194.6,6.05876,1191.79663,9018,0.10606
CNOT7,46,0.29929,10,12,17.23,3,0.16604,190.36667,5.97921,1113.34708,12726,0.22727
BTF3,362888,0.66175,11,11,32.577,1,0.16604,195.25,6.06065,23.75104,472,0.70909
LCP1,51,0.31924,10,11,10.285,3,0.19924,192.95,6.05497,783.76413,6214,0.29091
SETX,39,0.25938,10,11,22.194,1,0.19924,210.93333,6.30118,649.57167,7208,0.23636
NFE2L2,213,0.47886,10,11,16.427,3,0.19924,205.45,6.22542,537.90232,6092,0.43636
TNRC6B,80,0.4082,8,11,12.997,1,0.16604,192.6,6.00194,512.54904,3894,0.29091
C14orf2,95760,0.81447,11,11,20.614,1,0.19924,178.63333,5.80686,4.84068,168,0.87273
CCND2,47,0.29929,10,11,13.561,1,0.16604,202.03333,6.18186,343.44288,4582,0.27273
IST1,129,0.64826,5,11,12.338,4,0.19924,195.51667,6.09853,726.88577,4914,0.23636
DPY30,80,0.358,9,11,18.465,2,0.19924,204.21667,6.19512,787.11896,6644,0.27273
IFITM3,41162,0.64479,11,11,12.127,1,0.19924,191.81667,6.0455,172.42785,2090,0.69091
STRAP,71,0.3791,10,11,27.593,1,0.19924,203.73333,6.2008,99.27354,1534,0.34545
AHNAK,245,0.66569,6,11,16.648,2,0.16604,189.93333,5.99626,868.55233,6796,0.27273
XPC,26,0.2864,9,11,13.744,1,0.19924,196.88333,6.10421,529.71515,4842,0.23636
KPNA6,142,0.35915,10,10,26.883,1,0.19924,209.13333,6.28792,88.59137,2268,0.4
SAR1A,17,0.25611,7,10,14.855,4,0.19924,195.75,6.11936,958.65929,8884,0.15556
