ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
ENSG00000182487,4.531703502,3.028524082,3.93E-05,2.81E-05,7,NCF1B
ENSG00000104320,-3.895944248,6.200362534,3.99E-05,2.84E-05,8,NBN
ENSG00000100209,4.471849643,3.522796816,4.00E-05,2.85E-05,22,HSCB
ENSG00000123144,-3.968199299,5.162257086,4.01E-05,2.86E-05,19,TRIR
ENSG00000090863,-3.919567509,5.713215573,4.01E-05,2.86E-05,16,GLG1
ENSG00000122203,5.003866058,2.550603138,4.03E-05,2.87E-05,5,KIAA1191
ENSG00000171681,-3.88037339,6.527986074,4.03E-05,2.87E-05,12,ATF7IP
ENSG00000164938,-4.280967199,3.347992429,4.11E-05,2.92E-05,8,TP53INP1
ENSG00000110876,-4.280967199,3.347992429,4.11E-05,2.92E-05,12,SELPLG
ENSG00000062598,-4.498885465,3.337966237,4.11E-05,2.92E-05,20,ELMO2
ENSG00000182986,-8.346946409,1.665621482,4.12E-05,2.93E-05,19,ZNF320
ENSG00000196652,-8.346946409,1.665621482,4.12E-05,2.93E-05,7,ZKSCAN5
ENSG00000106261,-8.346946409,1.665621482,4.12E-05,2.93E-05,7,ZKSCAN1
ENSG00000132953,-8.346946409,1.665621482,4.12E-05,2.93E-05,13,XPO4
ENSG00000173511,8.308116203,1.709681403,4.12E-05,2.93E-05,11,VEGFB
ENSG00000196187,-8.346946409,1.665621482,4.12E-05,2.93E-05,1,TMEM63A
ENSG00000174125,-8.346946409,1.665621482,4.12E-05,2.93E-05,4,TLR1
ENSG00000278941,8.308116203,1.709681403,4.12E-05,2.93E-05,17,SMG6-IT1
ENSG00000100239,-8.346946409,1.665621482,4.12E-05,2.93E-05,22,PPP6R2
ENSG00000163344,-8.346946409,1.665621482,4.12E-05,2.93E-05,1,PMVK
ENSG00000102858,8.308116203,1.709681403,4.12E-05,2.93E-05,16,MGRN1
ENSG00000215424,-8.346946409,1.665621482,4.12E-05,2.93E-05,21,MCM3AP-AS1
ENSG00000211644,-8.346946409,1.665621482,4.12E-05,2.93E-05,22,IGLV1-51
ENSG00000093010,-8.346946409,1.665621482,4.12E-05,2.93E-05,22,COMT
ENSG00000108798,-8.346946409,1.665621482,4.12E-05,2.93E-05,17,ABI3
ENSG00000116017,-4.707808088,2.976477313,4.15E-05,2.95E-05,19,ARID3A
ENSG00000276293,5.567025001,2.20211664,4.29E-05,3.04E-05,17,PIP4K2B
ENSG00000152684,-5.734383724,2.13781984,4.29E-05,3.04E-05,5,PELO
ENSG00000136717,5.542831509,2.180121258,4.29E-05,3.04E-05,2,BIN1
ENSG00000188921,4.453006987,3.505344115,4.32E-05,3.06E-05,9,HACD4
ENSG00000111647,4.985039746,2.533401299,4.34E-05,3.07E-05,12,UHRF1BP1L
ENSG00000138468,4.243776675,3.870314654,4.49E-05,3.17E-05,3,SENP7
ENSG00000197183,4.946633678,2.498362423,4.68E-05,3.30E-05,20,NOL4L
ENSG00000171817,-8.308592011,1.630217746,4.69E-05,3.31E-05,19,ZNF540
ENSG00000126602,-8.308592011,1.630217746,4.69E-05,3.31E-05,16,TRAP1
ENSG00000186815,-8.308592011,1.630217746,4.69E-05,3.31E-05,12,TPCN1
ENSG00000055070,-8.308592011,1.630217746,4.69E-05,3.31E-05,1,SZRD1
ENSG00000156253,8.2734618,1.67849798,4.69E-05,3.31E-05,21,RWDD2B
ENSG00000176903,-8.308592011,1.630217746,4.69E-05,3.31E-05,14,PNMA1
ENSG00000029993,8.2734618,1.67849798,4.69E-05,3.31E-05,X,HMGB3
ENSG00000145451,-8.308592011,1.630217746,4.69E-05,3.31E-05,4,GLRA3
ENSG00000114395,-8.308592011,1.630217746,4.69E-05,3.31E-05,3,CYB561D2
ENSG00000197982,-8.308592011,1.630217746,4.69E-05,3.31E-05,1,C1orf122
ENSG00000145246,-8.308592011,1.630217746,4.69E-05,3.31E-05,4,ATP10D
ENSG00000128335,8.2734618,1.67849798,4.69E-05,3.31E-05,22,APOL2
ENSG00000101935,-8.308592011,1.630217746,4.69E-05,3.31E-05,X,AMMECR1
ENSG00000162433,8.2734618,1.67849798,4.69E-05,3.31E-05,1,AK4
ENSG00000165714,5.518225371,2.157780624,4.71E-05,3.32E-05,12,BORCS5
ENSG00000105404,-3.907990804,5.39754791,4.85E-05,3.41E-05,19,RABAC1
ENSG00000180758,3.951132126,5.033563582,4.86E-05,3.42E-05,1,GPR157
ENSG00000184205,-3.841923936,5.942638873,4.88E-05,3.43E-05,X,TSPYL2
ENSG00000148377,3.946286828,4.713269355,4.95E-05,3.47E-05,10,IDI2
ENSG00000198231,-4.163360677,3.589269253,4.99E-05,3.50E-05,17,DDX42
ENSG00000125652,-4.128846057,3.704971716,5.11E-05,3.58E-05,19,ALKBH7
ENSG00000141646,-4.045848947,4.200115188,5.12E-05,3.59E-05,18,SMAD4
ENSG00000143878,4.638078291,2.743693745,5.15E-05,3.60E-05,2,RHOB
ENSG00000166803,4.638078291,2.743693745,5.15E-05,3.60E-05,15,PCLAF
ENSG00000159496,5.493192266,2.135083669,5.18E-05,3.62E-05,22,RGL4
ENSG00000116062,3.890369361,5.236048395,5.22E-05,3.65E-05,2,MSH6
ENSG00000108854,4.151304421,3.931069882,5.30E-05,3.70E-05,17,SMURF2
ENSG00000117448,-3.906486293,4.853129031,5.32E-05,3.71E-05,1,AKR1A1
ENSG00000176783,3.852816053,5.420551474,5.35E-05,3.73E-05,5,RUFY1
ENSG00000178163,-8.269190038,1.593939087,5.36E-05,3.74E-05,4,ZNF518B
ENSG00000127191,-8.269190038,1.593939087,5.36E-05,3.74E-05,9,TRAF2
ENSG00000198959,8.237954447,1.646614077,5.36E-05,3.74E-05,20,TGM2
ENSG00000171763,8.237954447,1.646614077,5.36E-05,3.74E-05,15,SPATA5L1
ENSG00000104679,-8.269190038,1.593939087,5.36E-05,3.74E-05,8,R3HCC1
ENSG00000148400,-8.269190038,1.593939087,5.36E-05,3.74E-05,9,NOTCH1
ENSG00000221909,8.237954447,1.646614077,5.36E-05,3.74E-05,7,FAM200A
ENSG00000105672,-8.269190038,1.593939087,5.36E-05,3.74E-05,19,ETV2
ENSG00000121594,-8.269190038,1.593939087,5.36E-05,3.74E-05,3,CD80
ENSG00000074582,-8.269190038,1.593939087,5.36E-05,3.74E-05,2,BCS1L
ENSG00000175414,-8.269190038,1.593939087,5.36E-05,3.74E-05,5,ARL10
ENSG00000215717,-3.790279,6.603941338,5.42E-05,3.78E-05,1,TMEM167B
ENSG00000138698,3.851284376,5.377862099,5.50E-05,3.83E-05,4,RAP1GDS1
ENSG00000124562,-3.875956456,5.329434544,5.53E-05,3.85E-05,6,SNRPC
ENSG00000083635,-3.81056735,6.032215405,5.53E-05,3.85E-05,13,NUFIP1
ENSG00000135945,-4.426200658,3.269766634,5.54E-05,3.86E-05,2,REV1
ENSG00000173486,-3.831604529,5.748330731,5.59E-05,3.89E-05,11,FKBP2
ENSG00000125656,-4.046537051,3.998120677,5.67E-05,3.94E-05,19,CLPP
ENSG00000183921,-5.650510226,2.059785736,5.71E-05,3.97E-05,16,SDR42E2
ENSG00000076641,-3.766978414,7.077369295,5.71E-05,3.97E-05,8,PAG1
ENSG00000129055,5.467717115,2.112018779,5.71E-05,3.97E-05,3,ANAPC13
ENSG00000164163,3.768804805,6.830177292,5.89E-05,4.08E-05,4,ABCE1
ENSG00000170142,-8.228681655,1.556741401,6.13E-05,4.24E-05,3,UBE2E1
