,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
1031,ENSG00000108559,-5.382785862,3.225776288,6.27E-06,5.14E-06,17,NUP88
3989,ENSG00000196588,4.807670326,4.234604196,6.31E-06,5.17E-06,22,MRTFA
2897,ENSG00000163382,4.403884536,5.937558239,6.33E-06,5.19E-06,1,NAXE
23,ENSG00000005020,4.318071606,8.098383208,6.34E-06,5.19E-06,7,SKAP2
1707,ENSG00000129518,4.37326872,6.606306372,6.36E-06,5.21E-06,14,EAPP
4634,ENSG00000242086,-5.192727501,3.4365889,6.36E-06,5.21E-06,3,MUC20-OT1
1803,ENSG00000132361,-8.852592937,2.139679048,6.37E-06,5.22E-06,17,CLUH
3088,ENSG00000166225,-8.852592937,2.139679048,6.37E-06,5.22E-06,12,FRS2
2529,ENSG00000150667,-8.852592937,2.139679048,6.37E-06,5.22E-06,15,FSIP1
4685,ENSG00000244575,8.84511765,2.200355343,6.37E-06,5.22E-06,2,IGKV1-27
4509,ENSG00000232788,-8.852592937,2.139679048,6.37E-06,5.22E-06,2,ITGA6-AS1
3201,ENSG00000168116,-8.852592937,2.139679048,6.37E-06,5.22E-06,6,KIAA1586
4021,ENSG00000197114,-8.852592937,2.139679048,6.37E-06,5.22E-06,20,ZGPAT
1373,ENSG00000117748,-4.340338804,7.122217559,6.38E-06,5.22E-06,1,RPA2
1154,ENSG00000112118,-4.448755016,5.250081602,6.61E-06,5.40E-06,6,MCM3
2257,ENSG00000142507,4.310631229,7.946363144,6.61E-06,5.40E-06,17,PSMB6
3773,ENSG00000183604,4.732073714,4.327302348,6.86E-06,5.59E-06,16,SMG1P5
4008,ENSG00000196950,5.177966502,3.242999585,6.88E-06,5.60E-06,2,SLC39A10
138,ENSG00000028310,-4.707363172,3.937059043,6.93E-06,5.64E-06,5,BRD9
3936,ENSG00000188677,4.467159343,5.128281186,6.95E-06,5.66E-06,22,PARVB
480,ENSG00000081014,8.821323192,2.178343588,7.01E-06,5.70E-06,15,AP4E1
1158,ENSG00000112208,8.7971297,2.155986268,7.01E-06,5.70E-06,6,BAG2
2175,ENSG00000139990,8.821323192,2.178343588,7.01E-06,5.70E-06,14,DCAF5
4192,ENSG00000204381,-8.825684773,2.114146965,7.01E-06,5.70E-06,11,LAYN
1495,ENSG00000122417,-8.825684773,2.114146965,7.01E-06,5.70E-06,1,ODF2L
597,ENSG00000091127,-8.825684773,2.114146965,7.01E-06,5.70E-06,7,PUS7
339,ENSG00000068784,8.7971297,2.155986268,7.01E-06,5.70E-06,2,SRBD1
5037,ENSG00000270647,-8.825684773,2.114146965,7.01E-06,5.70E-06,17,TAF15
4872,ENSG00000259399,-8.825684773,2.114146965,7.01E-06,5.70E-06,20,TGIF2-RAB5IF
5235,ENSG00000283900,8.821323192,2.178343588,7.01E-06,5.70E-06,22,TPTEP2-CSNK1E
734,ENSG00000100991,8.821323192,2.178343588,7.01E-06,5.70E-06,20,TRPC4AP
4335,ENSG00000214765,-4.599945287,4.406950162,7.07E-06,5.75E-06,7,SEPTIN7P2
87,ENSG00000011600,-5.631477135,2.920951228,7.13E-06,5.79E-06,19,TYROBP
403,ENSG00000074319,6.034289792,2.632178508,7.21E-06,5.85E-06,11,TSG101
2004,ENSG00000136521,4.442496166,5.494575952,7.24E-06,5.87E-06,3,NDUFB5
897,ENSG00000105185,4.768007344,4.197124757,7.27E-06,5.90E-06,19,PDCD5
2185,ENSG00000140350,4.317738583,7.092748548,7.30E-06,5.92E-06,15,ANP32A
1133,ENSG00000111679,4.440893394,5.176142509,7.33E-06,5.94E-06,12,PTPN6
2888,ENSG00000163214,-5.034152312,3.592893052,7.35E-06,5.96E-06,2,DHX57
4657,ENSG00000243238,4.663473517,4.409723939,7.52E-06,6.08E-06,2,IGKV2-30
2184,ENSG00000140320,-8.798265182,2.088161286,7.73E-06,6.24E-06,15,BAHD1
3826,ENSG00000185055,8.772523562,2.133272302,7.73E-06,6.24E-06,7,EFCAB10
1036,ENSG00000108592,-8.798265182,2.088161286,7.73E-06,6.24E-06,17,FTSJ3
4767,ENSG00000253998,-8.798265182,2.088161286,7.73E-06,6.24E-06,2,IGKV2-29
4185,ENSG00000204304,-6.175548954,2.553845297,7.74E-06,6.25E-06,6,PBX2
3709,ENSG00000181847,4.614037732,4.49652524,7.84E-06,6.32E-06,3,TIGIT
1514,ENSG00000122884,4.525286692,4.751693843,7.96E-06,6.41E-06,10,P4HA1
949,ENSG00000106144,4.272252259,7.212993628,8.21E-06,6.59E-06,7,CASP2
5119,ENSG00000275714,-5.305560894,3.151921723,8.31E-06,6.67E-06,6,H3C1
530,ENSG00000086504,5.999157323,2.599521891,8.32E-06,6.68E-06,16,MRPL28
499,ENSG00000083520,-4.296521432,6.294396986,8.34E-06,6.69E-06,13,DIS3
3949,ENSG00000189079,-4.268871124,7.03902578,8.44E-06,6.76E-06,12,ARID2
2803,ENSG00000160570,-4.297013054,6.641581193,8.45E-06,6.77E-06,19,DEDD2
4903,ENSG00000260898,-8.770314347,2.061705702,8.53E-06,6.83E-06,15,ADPGK-AS1
3274,ENSG00000169252,-8.770314347,2.061705702,8.53E-06,6.83E-06,5,ADRB2
2488,ENSG00000149089,-8.770314347,2.061705702,8.53E-06,6.83E-06,11,APIP
2916,ENSG00000163606,-8.770314347,2.061705702,8.53E-06,6.83E-06,3,CD200R1
984,ENSG00000106993,-8.770314347,2.061705702,8.53E-06,6.83E-06,9,CDC37L1
4575,ENSG00000237190,8.747490457,2.110190069,8.53E-06,6.83E-06,5,CDKN2AIPNL
3908,ENSG00000187630,-8.770314347,2.061705702,8.53E-06,6.83E-06,14,DHRS4L2
3911,ENSG00000187741,-8.770314347,2.061705702,8.53E-06,6.83E-06,16,FANCA
963,ENSG00000106459,-8.770314347,2.061705702,8.53E-06,6.83E-06,7,NRF1
2096,ENSG00000138193,-8.770314347,2.061705702,8.53E-06,6.83E-06,10,PLCE1
2569,ENSG00000151778,8.747490457,2.110190069,8.53E-06,6.83E-06,13,SERP2
3152,ENSG00000167333,8.747490457,2.110190069,8.53E-06,6.83E-06,11,TRIM68
282,ENSG00000065060,8.747490457,2.110190069,8.53E-06,6.83E-06,6,UHRF1BP1
1722,ENSG00000130227,-8.770314347,2.061705702,8.53E-06,6.83E-06,8,XPO7
4135,ENSG00000198856,4.244039922,7.634143546,8.65E-06,6.92E-06,4,OSTC
1668,ENSG00000128245,-4.241998675,7.76137265,8.65E-06,6.92E-06,22,YWHAH
4042,ENSG00000197451,-4.615172173,4.014972041,8.67E-06,6.93E-06,5,HNRNPAB
3887,ENSG00000186517,-4.543165108,4.352874526,8.89E-06,7.10E-06,1,ARHGAP30
