,stage1,stage2
ENSG00000037757.13,0.027027027,62.32653061
ENSG00000037897.16,417.8851352,2.408163265
ENSG00000038002.8,371.1076255,0.367346939
ENSG00000038210.12,0.041071429,2.612244898
ENSG00000038219.12,1619.323842,1297.163265
ENSG00000038274.16,502.8979247,3051.530612
ENSG00000038358.14,2.453125,65.84897959
ENSG00000038382.18,223.9362934,379.9183673
ENSG00000039123.15,34.32859315,495.4818367
ENSG00000039319.16,438.6957046,1.489795918
ENSG00000039523.19,34.07861487,102.1428571
ENSG00000040341.17,989.0632627,0.326530612
ENSG00000040633.12,50.07287645,32.95918367
ENSG00000040933.15,0.107142857,0.163265306
ENSG00000041357.15,1412.710425,2032.734694
ENSG00000041802.10,47.80453668,0.408163265
ENSG00000041988.15,55.16192086,4.632653061
ENSG00000042062.11,0.013513514,0.020408163
ENSG00000042088.13,22.65226834,0.142857143
ENSG00000042286.14,0.008928572,98.87755102
ENSG00000042429.11,51.44473938,0.142857143
ENSG00000042493.15,338.1496139,544.7346939
ENSG00000042753.11,20.69449807,308.8571429
ENSG00000042980.12,2825.00362,1520.938776
ENSG00000043093.13,1756.47056,2161.285714
ENSG00000043143.20,264.0873552,0.081632653
ENSG00000043462.11,0.053812742,0.448979592
ENSG00000043591.5,271.7835425,0.06122449
ENSG00000044012.3,0.040540541,43.16326531
ENSG00000044115.20,127.4078185,168.5714286
ENSG00000044574.7,1404.531306,3095.442857
ENSG00000046651.14,912.6817087,594.0408163
ENSG00000046653.14,9.262789573,0.428571429
ENSG00000047056.14,53.87162162,105.9183673
ENSG00000047188.15,662.6054539,718.1836735
ENSG00000047230.14,0.008928572,561.8163265
ENSG00000047249.17,96.18339769,0.163265306
ENSG00000047315.15,188.0375676,69.49714286
ENSG00000047346.12,164.6237934,781.755102
ENSG00000047365.11,117.531612,0.387755102
ENSG00000047410.13,722.3210715,682.7226531
ENSG00000047578.12,0.013513514,0.020408163
ENSG00000047579.19,207.8262548,1.06122449
ENSG00000047644.18,183.1341699,0.367346939
ENSG00000047849.21,71.44642855,177.1020408
ENSG00000047932.13,53.5644305,0.473673469
ENSG00000048028.11,199.3156371,22.14285714
ENSG00000048052.21,354.9116796,31.87755102
ENSG00000048162.20,109.2777172,45.66795918
ENSG00000048392.11,221.0644305,734.2244898
ENSG00000048405.9,489.0641892,8.12244898
ENSG00000048462.10,0.027027027,0.06122449
ENSG00000048471.13,615.604247,619.3673469
ENSG00000048544.5,211.4270633,0.12244898
ENSG00000048649.13,1104.300564,406.7665306
ENSG00000048707.13,114.0149614,0.224489796
ENSG00000048740.18,352.0733591,1075.428571
ENSG00000048828.16,810.1380309,681.1020408
ENSG00000048991.16,33.08059846,0.306122449
ENSG00000049239.12,59.46887066,49.59183673
ENSG00000049245.12,39.27051158,0.530612245
ENSG00000049246.14,0.062741313,0.026326531
ENSG00000049247.13,0.040299228,0.565510204
ENSG00000049249.8,58.52316605,0.755102041
ENSG00000049449.8,7.12054054,3.510204082
ENSG00000049541.10,3.698841699,0.183673469
ENSG00000049618.22,749.6942568,3205.612245
ENSG00000049656.13,156.3530405,0.081632653
ENSG00000049759.17,4.187741313,222.877551
ENSG00000049860.13,254.1807988,19.55102041
ENSG00000049883.14,0.008928572,0.020408163
ENSG00000050130.17,258.0726352,0.714285714
ENSG00000050327.14,4.662162162,0.06122449
ENSG00000050393.11,53.74179538,0.122040816
ENSG00000050405.13,11.72273166,1396
ENSG00000050426.15,0.219353282,0.020408163
ENSG00000050438.16,3.991312742,0.040816327
ENSG00000050730.15,0.388996139,0.224489796
ENSG00000050748.17,4.241312742,0.12244898
ENSG00000051009.10,0.027027027,1092.734694
ENSG00000051108.14,12782.98818,9326.306122
ENSG00000051341.13,0.013513514,0.020408163
ENSG00000051382.8,0.067567568,196.4489796
ENSG00000051523.10,285.2142857,260.9591837
ENSG00000051596.9,6.333590732,1251.327551
ENSG00000051620.10,14.59242278,0.224489796
ENSG00000051825.14,16.36607143,0.12244898
ENSG00000052126.14,0.108108108,0.081632653
ENSG00000052723.11,153.4394305,235.6938776
ENSG00000052749.13,2.038544884,43.26530612
ENSG00000052795.12,2.684604247,1.102040816
ENSG00000052802.12,81.5325772,1325.632653
ENSG00000052841.14,128.7724421,482.3469388
ENSG00000053254.15,30.80912162,739.4585714
ENSG00000053371.12,0.443532819,46.75510204
ENSG00000053372.4,57.19666988,0.183673469
ENSG00000053501.12,55.1397201,276.9591837
ENSG00000053524.12,0.013513514,0.020408163
ENSG00000053770.11,273.8395271,924.8571429
ENSG00000053900.10,0.076254826,0.265306122
ENSG00000054116.11,9.371138998,0.06122449
ENSG00000054118.13,3892.745073,4728.481224
ENSG00000054148.17,109.1961873,908.0816327
ENSG00000054219.10,228.390263,0.163265306
ENSG00000054267.21,879.0376714,2900.786939
ENSG00000054277.13,0.169083012,89.97959184
ENSG00000054282.15,466.384363,63.48979592
