Names	total	elements
		TAF11
		CCDC136
		ZNF121
		RAD50
		IER5
		SYNE1
		MVK
		RBM5
		KHDC4
		TUBGCP4
		NCL
		PSMD10
		UVSSA
		GUF1
		CDK7
		RASGRP3
		NUDT16L1
		PRKRIP1
		GDF11
		GCN1
		RBMX2
		SYT11
		TGS1
		DCAF13
		TOMM70
		BHLHE40
		IFT88
		TRIM52-AS1
		SLC26A2
		ATP2B4
		RPL7AP60
		CHST12
		KANSL3
		GUSBP11
		H2AC11
		ID2
		ARHGAP5
		CHMP1A
		ROCR
		ZNF160
		ZNF688
		DHX29
		PTPN6
		BAHD1
		IGHV4-59
		ILDR1
		SLC15A3
		ADIRF
		NUMB
		RHOQ
		TNIP1
		NSFL1C
		CANT1
		INTS13
		SNX25P1
		CDC37
		MRPS31P4
		GPR84
		INTS2
		CROCCP2
		OGFOD1
		MSMO1
		ZFYVE16
		LINC01480
		CCZ1
		WEE2-AS1
		POLH
		DBF4P1
		TBC1D22A
		HIP1R
		FILIP1L
		PLEKHA2
		PDE4DIP
		NAB1
		DGKA
		NADK
		TNFRSF18
		MED31
		ZMYM4
		ZNF263
		CBWD2
		MAFIP
		RAP2A
		ASB14
		TP53TG1
		IL10RA
		LAMTOR4
		RSPRY1
		POLR2J3
		SLFN11
		ZDHHC21
		ARG2
		THAP9-AS1
		ERO1B
		DNAH8
		ASH2L
		ADAP2
		TAF8
		TM9SF3
		RNF139
		BCL7B
		MAN2B2
		RGS12
		MAFG
		BICD2
		CCDC163
		MT1F
		CCDC157
		SLC41A1
		LY6G5B
		LRCH1
		ZCCHC2
		CHIC1
		CARNMT1
		KBTBD2
		ELOVL1
		UBE2E2
		SLC39A10
		ACP1
		CDC23
		PBXIP1
		ZMYM2
		CXorf40B
		CYBC1
		MARCKSL1
		KIAA1586
		ZNF496
		CDKN1A
		NCK1
		TRAF3IP3
		MTERF3
		TRAV12-3
		FBXL3
		MPHOSPH9
		PLPP1
		LSR
		GET3
		CD8B
		EIF2B1
		CD84
		TENT4A
		RASA1
		MRPS21
		NONO
		IMPA1
		SH3BP1
		RARRES1
		NPIPB6
		ITCH
		TCEAL3
		MAGOH
		ERMN
		MBP
		TANGO6
		LRG1
		TNRC6C-AS1
		STAM2
		PIK3R1
		PTPMT1
		CFAP97
		CIAPIN1
		HELZ
		ADCY4
		MPEG1
		C22orf39
		NDUFA12
		TBC1D27P
		SNHG6
		ADAT1
		HOOK1
		RPP21
		GTF2E2
		ZNF737
		TTC14
		KLHL5
		SRM
		PPM1G
		FZD3
		NMT1
		SOCS5
		SNX8
		HADHA
		CFDP1
		TIMM50
		PER1
		MUSTN1
		TFEB
		ZFYVE27
		SH3RF1
		OIP5-AS1
		SND1-IT1
		FNDC3B
		VMA21
		MICAL1
		BLZF1
		PCDHGC3
		ZNRD2
		SWI5
		FOSB
		BOLA3
		SLC27A2
		TMEM131L
		DUS1L
		KDM2B
		NEK9
		PREX1
		WARS2
		SLC25A45
		MARCO
		ZNF789
		HARS2
		UPF3B
		CXCR6
		HLA-DOB
		IGSF6
		CD200R1
		CXorf65
		UST
		RFFL
		AIG1
		U2AF1L5
		APBA3
		POM121C
		HMGN3-AS1
		HMGCS1
		RAB28
		LINC02637
		RAB10
		NSFP1
		TLE4
		WRNIP1
		TLK2
		PRXL2B
		CTSO
		MRPL23
		DHRS1
		SFMBT1
		SDF2L1
		PSMA6
		ACBD3-AS1
		TTC9B
		C6orf226
		GSE1
		EFR3A
		NINJ1
		UCP3
		UBAP2
		ABHD14A
		CDKN2AIPNL
		AMPD2
		NBPF14
		BBIP1
		PLA2G12A
		SBDSP1
		N4BP2L1
		NRBF2
		PITPNC1
		HAUS3
		FBXO6
		LIN7C
		ODF3B
		PCNX3
		CEP128
		MCM3AP-AS1
		HMGXB3
		PIK3R6
		DPPA4
		KCNMB4
		PYCR2
		ABCA5
		CASP4
		TSPAN17
		BICRA
		MAP1S
		TTC4
		LYRM7
		BRD3
		NDUFS3
		MAGED1
		CRAMP1
		SNORA73B
		METTL17
		THUMPD3-AS1
		RRS1-AS1
		MT2A
		PPM1N
		EIPR1
		PTDSS2
		ZFAND2B
		UGT8
		BMP2K
		ZNF674-AS1
		SLC25A23
		DEPDC4
		HEXA
		SFXN5
		SETD4
		USP39
		MAP2K3
		FKBP11
		SESTD1
		FLII
		LENG8-AS1
		CCDC126
		PRCC
		CWF19L2
		CALCOCO1
		MAP7D1
		ZBTB32
		NEMP1
		DDX56
		MTFR1L
		PAX5
		MRPS18B
		ZNF682
		MAFF
		GMEB1
		EEA1
		ABTB1
		DDX20
		UTP15
		EEF2KMT
		PASK
		PHKB
		FAM92A
		ZNF776
		NDEL1
		CISD3
		RBAK
		TMEM147
		YIPF3
		RGL4
		FKBP2
		TYMP
		XPO7
		GPR75
		PARD6B
		ARID1A
		C1orf162
		ITGAL
		RPL23AP82
		RCN2
		WDR73
		ARFGAP1
		UQCRH
		IGLV9-49
		H1-4
		LYPLAL1
		MAST3
		RPP38
		VEGFB
		YPEL2
		UQCRC2
		RYBP
		PGBD4
		MAEA
		ZNF22
		PSD3
		CPSF2
		ISCA2
		NLRC3
		HDLBP
		PNP
		C15orf61
		IGKV1D-39
		PIGM
		ACY3
		ANKZF1
		TRMT2A
		SENP5
		FAM174B
		EIF2D
		METTL1
		CBFA2T3
		RAP1GDS1
		AFF3
		DARS2
		EIF2S2P4
		KLF3
		BAIAP2L1
		GMPR2
		KARS1
		MYCBP2-AS1
		DBNL
		CHPT1
		ERGIC1
		ATOX1
		KDM4A-AS1
		TSPAN32
		DNASE1
		LPP
		ORC3
		PTPRCAP
		HIVEP1
		DFFB
		RAE1
		TNIK
		RNF122
		RYK
		AIFM1
		SEC24D
		MRPL4
		NCF1B
		TRAF3IP2
		MDFIC
		MNAT1
		PCMTD2
		MBNL2
		ILRUN
		APOBEC3D
		AXIN1
		POLR1C
		DENND11
		NUBP2
		ATXN7L1
		TUBGCP3
		ZNF85
		SVBP
		MTM1
		TRBV19
		METTL23
		SLC25A37
		SMARCC2
		TFDP2
		HCP5
		FAM234B
		USF2
		NAMPTP1
		NAXE
		POLG2
		SPATA5L1
		TRMT61B
		NDST1
		PTPRE
		PELP1
		C5orf24
		MFSD6
		CKLF-CMTM1
		SH2D1A
		SMARCD1
		DUSP22
		DERA
		L3MBTL2
		MCRS1
		ECPAS
		GTF2E1
		JAM3
		ATAD2B
		ARHGAP17
		TTF2
		PHKG2
		SLC39A14
		DDX19B
		NGRN
		RN7SL731P
		EXT2
		RARS1
		CRY2
		RHOQP2
		MECP2
		PNPLA4
		FCGR2B
		MAP3K5
		ABITRAM
		FAM13A-AS1
		INTS14
		ACACA
		HRK
		ABCG1
		MAPKAPK5-AS1
		COG6
		ABHD4
		NFATC1
		LARS1
		SLC35F6
		PRICKLE3
		RPP40
		UAP1L1
		LINC02803
		RMC1
		ADGRG3
		NAPG
		FBXO22
		YIPF4
		ZNF669
		DBNDD2
		ZNF581
		CDK12
		CCDC39
		ASB8
		SLC66A3
		COQ7
		OXCT1-AS1
		SLC16A7
		CHMP5
		DSTNP2
		THAP11
		NEK4
		PRKAR2A
		RBM33
		YTHDF3
		RPL7L1
		THYN1
		PAFAH1B1
		PGRMC2
		MAGEE1
		PLTP
		TBC1D5
		DNAJA4
		GLRX2
		SNX29P1
		EZH2
		SLC25A1
		ATP11A
		ARL5B
		RBM23
		PELO
		ARMC1
		FAS
		GOLGA2P5
		LINC02019
		BTN3A2
		HSPBAP1
		CSTF3
		BORA
		PI4KA
		MRPL12
		R3HDM4
		COMMD2
		DDAH1
		SLC35B2
		TIPARP
		CCDC137
		RIOX2
		DNASE1L3
		SCRN2
		TRNAU1AP
		LRRC58
		CKB
		IPO8
		ZNF175
		LRRC75A
		SYNJ2BP-COX16
		SLC40A1
		PTHLH
		PHC3
		GOLPH3
		COA6
		PDE6D
		LRRC37A2
		ZNF117
		DCAF12
		NKRF
		CLK2
		ANAPC13
		CCSER1
		PPP6R1
		SLCO3A1
		DUSP2
		FANCL
		NCF2
		SECISBP2
		MRPL48
		URI1
		RANP1
		PIK3C3
		PAG1
		GNG10
		GPCPD1
		MRPL28
		ZBTB2
		RAB14
		GRK3
		SND1
		NIPSNAP1
		PI4K2A
		MED8
		WDR75
		TEX261
		CHD6
		STAT4
		ZFAND4
		RNF145
		LY86
		DYNC1LI2
		RNVU1-3
		GDI1
		GIHCG
		GATAD2A
		GSAP
		PIH1D1
		TAP1
		ZNF670
		CS
		N4BP2
		ETS2
		ZNF318
		PRMT2
		ZNF609
		FCRL3
		EHMT2
		NDUFAF6
		EXOSC10
		ITGA1
		H2BC5
		RABGAP1L-DT
		PACS2
		ZNF721
		SNRPF
		BCL2L2
		ATG4B
		GPR22
		FBRSL1
		ARMC8
		BAG1
		VPS36
		MYNN
		PAN2
		NEAT1
		SMC1A
		PRKCD
		NDUFB4
		IGKV1-12
		TP53INP2
		ANTXR2
		COL4A3
		TUSC2
		PRKAA1
		RUNX1
		ENAH
		SEPTIN7P2
		ATP2C1
		RCC2
		RNF103
		AHCY
		POGK
		MAPK9
		PPTC7
		RIPK2
		ZNF540
		MCEMP1
		TRIM37
		GRSF1
		PDCD7
		NR4A1AS
		CDR2
		EXOSC9
		PSMC6
		ZFP36L2
		PDRG1
		LRRFIP1P1
		SSR3
		PPP4R3B
		STRADA
		IGKV2-28
		DYRK2
		MTF1
		CYP4V2
		ITGB7
		TRBV12-3
		CHKB
		TM2D3
		CD180
		PROSER1
		ASPH
		TMPO
		MAP4K1
		OXCT1
		SRP68
		ANKRD42
		PPM1M
		PITPNA
		NPIPB11
		NDUFS2
		SLC43A3
		STUB1
		ILK
		TLNRD1
		PEAK1
		KCNQ1OT1
		PRR14L
		DYNLL2
		CCNL2
		GTF2F2
		RNF113A
		ANXA6
		DPM3
		TFPT
		EIF2S3
		TSPYL2
		ABTB2
		SMPD1
		MORC3
		ZC3H12A
		TBC1D2B
		CCDC32
		AKAP10
		TIGIT
		RPAP3
		NAA20
		STOM
		GSN
		EGR2
		SMARCA5
		TMEM8B
		PLEKHA3
		ZBTB45
		TMEM14A
		DGKZ
		SULT1A1
		AKR7A2
		SENP6
		GGPS1
		CERKL
		SRBD1
		RFX1
		MPI
		MEPCE
		IGHV4-39
		SMIM7
		TMEM209
		RRAGA
		SAMD9L
		CARS2
		KIF21A
		ABCE1
		UNK
		ARHGEF3
		CD27
		MRPL20
		SDHAP1
		EGLN1
		FAM167A
		RWDD3
		ATP6AP1
		ARHGEF39
		ZDHHC12
		CD226
		RBM14-RBM4
		SPDYE3
		PHC2
		DCAF1
		EP400P1
		SYNJ2
		SPHK1
		CA5BP1
		MPZL1
		ARSB
		ZNF578
		ADAM9
		TPH1
		ZSCAN29
		DDX52
		TRPT1
		SLC36A4
		UBA3
		NEK1
		HARBI1
		NOP16
		TNK2
		AGK
		DIPK1B
		CAP1
		TBC1D20
		CEP83
		DDAH2
		ITGA6-AS1
		VPS11
		SHPRH
		STX7
		ATXN3
		NDUFB5
		TRIM27
		TMEM214
		OXR1
		CHCHD1
		RNF187
		MTCH1
		HK1
		SFMBT2
		GRK2
		NPIPA1
		NAA10
		LRPPRC
		HEXB
		NDUFAF7
