Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000011258.15,0.8,0.240740741,446.655914,0,57.35135135,0.040816327,0,274.9464286
ENSG00000011260.13,591.1333333,192.6481481,151.0107527,3192.153846,0.324324324,16.93877551,239.3703704,74.78571429
ENSG00000011275.18,881.3333333,351.4074074,162.8494624,4778,63.7027027,201.9387755,1409.037037,316.9226786
ENSG00000011295.15,4,11.05555556,116.5053763,0,0.243243243,559.5714286,0.111111111,0.339285714
ENSG00000011304.19,9,50.55555556,0.419354839,0.230769231,134.3243243,283.4897959,8.666666667,6.410714286
ENSG00000011332.19,0,0,0,0,0,0,0,0
ENSG00000011347.9,0,0,0,0,0.054054054,0,0,0
ENSG00000011376.9,0,0.092592593,0.021505376,0,0.027027027,0.142857143,0,20
ENSG00000011405.13,205.3333333,1.351851852,13.64516129,2.230769231,5.864864865,0.06122449,0.074074074,97.01785714
ENSG00000011422.11,2.4,222.3148148,129.4623656,1567.923077,10.94594595,3.918367347,35.96296296,0.375
ENSG00000011426.10,0,0.018518519,0,0,0.432432432,0.020408163,0,0
ENSG00000011451.17,94.86666667,12.66666667,274.0967742,0,0,0.142857143,0.703703704,0
ENSG00000011454.16,11,54.11111111,0.075268817,0,0.432432432,0.06122449,0,73.53571429
ENSG00000011465.16,0,201.6481481,0,0,0,0.367346939,0,0.517857143
ENSG00000011478.11,243.1333333,0.037037037,0,0,0,0,0,0
ENSG00000011485.14,0.066666667,114.2407407,0.021505376,0.076923077,0,0.020408163,0,0
ENSG00000011523.13,0.333333333,0.351851852,0.989247312,0,0.027027027,0.163265306,0.148148148,33.80321429
