hgnc_symbol,stage1,stage2,stage3,stage4
IGF1,0.013513514,0.020408163,0.099145299,0.00925926
RALBP1,209.777751,0.448979592,473.2535612,398.6120072
RUFY3,0.170366796,1494.510204,1317.222602,41.6995221
SLC11A1,0.008928572,0.020408163,0.130864197,0.444743131
WWTR1,13.67167471,24.41673469,5.777230769,24.00253883
AGPS,0.017857143,249.8367347,111.6624881,49.46953405
CXorf56,38.0492278,0.142857143,163.2567901,52.02389484
TTC27,3.473214286,61.87755102,8.204938272,132.0648148
CD74,120672.2951,138856.5714,86123.44636,147789.009
ZRANB1,78.52544643,249.2334694,4.357844254,46.83695639
NCDN,0.026785715,0.020408163,0.088888889,0.082437276
MNAT1,161.0456081,0.244897959,363.0165244,31.83602151
SAMD4A,11.25892857,0.020408163,0.088888889,27.82646356
RUNX3,756.9580118,679.3061224,1991.951567,785.3178016
MRE11,246.7157336,0.428571429,340.8358973,156.509558
SERPINB1,130.4362934,260.3673469,331.1716999,609.5354209
SPAST,0.017857143,110.3877551,0.391642925,0.212066906
AQR,293.0605695,55.69387755,0.251851852,264.7912187
RTF2,133.8086873,181.2857143,20.69724597,366.2452211
RNF10,166.082529,471.244898,158.9293447,861.5017921
ZDHHC6,207.1813296,0.265306122,0.307369421,66.27067503
RNH1,39.08614865,39.53061224,10.07008547,225.8282557
NDUFS1,180.3378378,43.46938776,213.2790123,8.84976105
RB1CC1,217.7726834,286.1020408,316.2638177,547.9961171
ERP44,452.179778,792.8367347,626.7071226,470.359319
ALAS1,5.882963321,833.7755102,79.27901236,185.2995819
BIRC3,13059.66651,12633.16327,9066.064198,12567.98208
AKAP11,805.1708493,2405.244898,211.1941121,179.6675628
GLRX2,26.1059363,0.163265306,6.00493827,175.2314815
SNAPC1,241.9211487,323.8065306,0.056790123,144.0159857
DERA,129.5185811,0.285714286,0.044444444,150.6137993
STRAP,1834.039817,702.3265306,757.2176638,1204.121266
DEF6,88.10593628,0.081632653,106.8026591,98.02688172
PLEKHO1,63.34797295,54.83673469,319.9538461,110.9787933
GCLM,539.0248553,0.06122449,129.5792972,227.2344683
UBR2,174.2097008,163.9183673,56.35897437,606.0388292
CCDC28A,572.418195,0.448979592,0.372839506,253.1221625
HSF2,23.45535715,0.020408163,405.965432,1.946236559
PHF20,422.9618726,1314.244898,300.1796771,2126.658892
TYMP,168.1025579,107.6718367,115.8174739,139.2217652
NCAPH2,150.0900097,0.06122449,0.333333333,44.8025687
TOMM34,22.45439189,0.040816327,0.254320988,209.7368578
SEC63,83.3925,223.4877551,962.4396811,831.7353375
KPNA6,395.1657215,748.1689796,877.4102563,705.4976107
VIM,809.0024856,5256.864286,6061.373789,2215.291019
FAS,51.88787404,1.632653061,269.8355176,125.8829152
RNASET2,428.1503258,2734.530612,904.7405507,599.0957079
CD44,2540.653716,3939.387755,4481.415005,2531.117981
SLAMF7,241.0019305,1488.938776,712.305793,1803.327658
BTN3A1,42.58928572,13.91836735,52.20778726,0.864265233
PRKCH,0.507239383,2.285714286,2.363532764,60.11529271
IFNGR1,602.632722,28.10204082,403.8792023,769.422043
SH2D2A,3.886100386,0.224489796,34.95897435,33.10782557
VRK2,98.73907821,4.102040816,2.763152896,96.58811232
TNFRSF1B,59.65878379,2258.102041,110.7861348,427.8936679
VEZT,873.1624033,788.1020408,344.8093068,365.1935484
POU2F2,130.0950772,104.6326531,680.6123457,223.3491637
BRD9,82.27586633,8.367346939,0.204938272,77.57876046
SNX1,80.56056948,1.326530612,353.0942071,177.9456392
TBPL1,444.2620656,0.489795918,44.99753085,281.3204899
BCLAF1,1501.175563,781.8720408,3694.382302,1608.655299
